Year,Country,City,System,Corridor,Corridor Length (km),BRT Basics - Minimum score of 18 points needed,Busway alignment,Dedicated right-of-way,Off-board fare collection,Intersection treatments,Platform-level boarding,Service Planning,Multiple routes,Peak frequency,Off-peak frequency,"Express, limited, and local services",Control center,Located In top ten corridors,Demand Profile,Hours of operations,Multi-corridor network,Infrastructure,Passing lanes at stations,Minimizing bus emissions,Stations set back from intersections,Center stations,Pavement quality,Station Design and Station-bus Interface,Distances between stations,Safe and comfortable stations,Number of doors on bus,Docking bays and sub-stops,Sliding doors in BRT stations,Quality of Service & Passenger Information Systems,Branding,Passenger information,Integration and Access,Universal access,Integration with other public transport,Pedestrian access,Secure bicycle parking,Bicycle lanes,Bicycle-sharing integration,TOTAL 100,BRT BASICS (MINIMUM NEEDED 18),Point Deductions,Commercial Speeds,"Peak passengers per hour per direction (pphpd) below 1,000",Lack of enforcement of right-of-way,Significant gap between bus floor and station platform,Overcrowding,"Poorly-maintained Busway, Buses, Stations and Technology Systems",Total Score,Classification
2013,China,Guangzhou,Guangzhou BRT,Zhongshan Avenue,22.5,33,7,7,7,6,6,24,4,3,2,3,3,2,3,2,2,9,4,0,3,0,2,10,2,3,3,1,1,4,2,2,11,1,3,2,2,2,1,91,33,0,0,0,0,0,0,0,91,Gold
2013,China,Jinan,Jinan BRT,Beiyuan dajie,15,25,7,7,7,0,4,21,4,3,2,0,3,2,3,2,2,7,0,1,1,3,2,8,2,2,3,0,1,5,3,2,1,0,0,0,0,1,0,67,25,0,0,0,0,0,0,0,67,Bronze
2013,China,Jinan,Jinan BRT,Lishan Lu,4.8,25,7,7,7,0,4,21,4,3,2,0,3,2,3,2,2,7,0,1,1,3,2,8,2,2,3,0,1,5,3,2,1,0,0,0,0,1,0,67,25,0,0,0,0,0,0,0,67,Bronze
2013,China,Jinan,Jinan BRT,Erhuandonglu,8,25,7,7,7,0,4,21,4,3,2,0,3,2,3,2,2,7,0,1,1,3,2,8,2,2,3,0,1,5,3,2,1,0,0,0,0,1,0,67,25,0,0,0,0,0,0,0,67,Bronze
2013,China,Jinan,Jinan BRT,Gongyebeilu-Aotizonglu Line 6,6.6,25,7,7,7,0,4,21,4,3,2,0,3,2,3,2,2,7,0,1,1,3,2,8,2,2,3,0,1,5,3,2,1,0,0,0,0,1,0,67,25,0,0,0,0,0,0,0,67,Bronze
2013,China,Lanzhou,Lanzhou BRT,Anning Lu,8.6,32,7,7,7,5,6,18,4,3,2,0,3,2,0,2,2,11,4,1,3,1,2,10,2,3,3,1,1,5,3,2,8,0,2,2,2,2,0,84,32,0,0,0,0,0,0,0,84,Silver
2013,Colombia,Barranquilla,Transmetro,(no name),13.2,32,7,7,7,5,6,19,0,3,2,2,3,2,3,2,2,11,3,1,3,2,2,10,2,3,3,1,1,5,3,2,5,3,0,2,0,0,0,82,32,-5,0,0,-3,0,-1,-1,77,Silver
2013,Colombia,Bogota,TransMilenio,Autonorte,11.6,32,7,7,7,5,6,24,4,3,2,3,3,2,3,2,2,9,4,0,3,2,0,10,2,3,3,1,1,5,3,2,6,3,0,3,0,,0,86,32,-3,0,0,0,0,-3,0,83,Silver
2013,Colombia,Bogota,TransMilenio,Suba,9.6,33,7,7,7,6,6,24,4,3,2,3,3,2,3,2,2,11,4,0,3,2,2,10,2,3,3,1,1,5,3,2,9,3,0,3,1,2,0,92,33,-3,0,0,0,0,-3,0,89,Gold
2013,Colombia,Bogota,TransMilenio,Caracas,7.3,32,7,7,7,5,6,24,4,3,2,3,3,2,3,2,2,9,4,0,3,2,0,10,2,3,3,1,1,5,3,2,6,3,0,3,0,0,0,86,32,-3,0,0,0,0,-3,0,83,Silver
