Region,Country,City,Value,Year,Source
Latin America,Brazil,Curitiba,67,,URBS - Unidade de Gestão de Informação
Latin America,Brazil,São Paulo - Metropolitan area,,,
Latin America,Brazil,Feira de Santana,,,
Latin America,Brazil,Fortaleza,256,2013,ETUFOR
Latin America,Brazil,Goiânia,110,,RMTC
Latin America,Brazil,Guarulhos,,,
Latin America,Brazil,Jaboatão dos Guararapes,,,
Latin America,Brazil,João Pessoa,200,2012,Semob-JP
Latin America,Brazil,Joinville,20,,www.ippuj.sc.gov.br
Latin America,Brazil,Juiz de Fora,116,,SETTRA
Latin America,Brazil,Londrina,123,,
Latin America,Brazil,Maceió,,,
Latin America,Brazil,Natal,,,
Latin America,Brazil,Niterói,120,,www.nittrans.niteroi.rj.gov.br
Latin America,Brazil,Olinda,268,,Grande Recife
Latin America,Brazil,Porto Alegre,350,,lproweb.procempa.com.br
Latin America,Brazil,Recife,243,,Grande Recife
Latin America,Brazil,Rio de Janeiro,600,"2014, corridor BRS Presidente Vargas",Rio Ônibus
Latin America,Brazil,Salvador,224,,TRANSALVADOR
Latin America,Brazil,Santos,28,2012,CET Santos
Latin America,Brazil,São Paulo,269,,SPTrans
Latin America,Brazil,Sorocaba,,,
Latin America,Brazil,Sumaré,,,
Latin America,Brazil,Teresina,,,
Latin America,Brazil,Uberaba,15,2015,www.uberaba.mg.gov.br
Latin America,Brazil,Uberlândia,20,,SETTRAN
Latin America,Chile,Santiago,185,2012,Transantiago
Latin America,Colombia,Barranquilla,54,,
Latin America,Colombia,Bogotá,320,,Transmilenio S.A.
Latin America,Colombia,Bucaramanga,45,2012,Metrolínea
Latin America,Colombia,Cali,25,2013,Metro Cali S.A.
Latin America,Colombia,Medellín,40,2013,Metroplús
Latin America,Colombia,Pereira,42,,www.megabus.gov.co
Latin America,Ecuador,Guayaquil,30,,Metrovía
Latin America,Ecuador,Quito,140,2012,Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ)
Latin America,El Salvador,Gran San Salvador,140,2015,sites.google.com
Latin America,Guatemala,Guatemala,30,,transmetro.muniguate.com
Latin America,Mexico,Chihuahua,,,
Latin America,Mexico,Ecatepec,20,,impreso.milenio.com
Latin America,Mexico,Guadalajara,12,,
Latin America,Mexico,Guadalupe,15,2013,www.nl.gob.mx
Latin America,Mexico,León de los Aldama,45,,Opitbus
Latin America,Mexico,Mexico City,77,2014,METROBÚS
Latin America,Mexico,Juárez,,,
Latin America,Mexico,Monterrey,,,
Latin America,Mexico,Nezahualcoyotl,20,2013,www.sdpnoticias.com
Latin America,Mexico,Pachuca,,,
Latin America,Mexico,Puebla,,,
Latin America,Panama,Panama,,,
Latin America,Peru,Lima,117,,Protransporte Planing and Information System Office
Latin America,Trinidad and Tobago,Port of Spain - Arima,,,
Latin America,Uruguay,Montevideo,18,2013,www.montevideo.gub.uy
Latin America,Venezuela,Caracas,,,
Latin America,Venezuela,Merida,16,,"María Alejandra Guilarte Castro, Former president of Trolmerida"
Latin America,Venezuela,Barquisimeto,,,
Northern America,Canada,Brampton,12,2015,en.wikipedia.org
Northern America,Canada,Gatineau,24,2014,www.novabus.com
Northern America,Canada,Halifax,,,
Northern America,Canada,Ottawa,180,2013,www.octranspo1.com
Northern America,Canada,Vancouver,,,
Northern America,Canada,Waterloo,4,2015,www.grt.ca
Northern America,Canada,Winnipeg,45,2012,Winnipeg Transit
Northern America,Canada,York Regional Municipality,,,
Northern America,United States,Alexandria - Arlington,10,2014,www.wmata.com
Northern America,United States,Albuquerque,4,2015,data.cabq.gov
Northern America,United States,Boston,18,2014,www.mbta.com
Northern America,United States,Chicago,12,2013,www.transitchicago.com
Northern America,United States,Cleveland,10,2013,www.riderta.com
Northern America,United States,Eugene,6,2013,LTD
Northern America,United States,Everett,5,2013,www.commtrans.org
Northern America,United States,Kansas City,6,2012,www.nbrti.org
Northern America,United States,Las Vegas,,,
Northern America,United States,Los Angeles,15,2007,Metro Orange Line presented to APTA by Dana Woodbury
Northern America,United States,Miami,,,
Northern America,United States,New York,17,2015,web.mta.info
Northern America,United States,Oakland,12,2004,Federal Transit Administration
Northern America,United States,Orlando,15,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Northern America,United States,Phoenix,6,2004,Federal Transit Administration
Northern America,United States,Pittsburgh,30,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Northern America,United States,San Bernardino,6,2014,www.omnitrans.org
Northern America,United States,San Diego,,,
Northern America,United States,Snohomish County,,,
Northern America,United States,Stockton,13,2015,www.sanjoaquinrtd.com
Oceania,Australia,Adelaide,85,2013,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Brisbane,295,2013,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Sydney - Blacktown - Rouse Hill,17,2013,"Currie G; Delbosc, A. (2013) Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Sydney - Liverpool - Parramatta,6,2013,"Currie G; Delbosc, A. (2013) Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Sydney - Parramatta - Rouse Hill,42,2013,"Currie G; Delbosc, A. (2013) Assessing bus rapid transit system performance in Australasia"
Oceania,New Zealand,Auckland,82,2013,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
