Region,Country,City,Value,Year,Source
Latin America,Brazil,São Paulo - Metropolitan area,72.5,,Calculated using annual demand and fare
Latin America,Brazil,Feira de Santana,,,
Latin America,Brazil,Fortaleza,37.46,,Calculated using annual demand and fare
Latin America,Brazil,Goiânia,67.95,,Calculated using annual demand and fare
Latin America,Brazil,Guarulhos,5.72,,Calculated using annual demand and fare
Latin America,Brazil,Jaboatão dos Guararapes,,,
Latin America,Brazil,João Pessoa,40.6,,Calculated using annual demand and fare
Latin America,Brazil,Joinville,,,
Latin America,Brazil,Juiz de Fora,,,
Latin America,Brazil,Londrina,6.55,,Calculated using annual demand and fare
Latin America,Brazil,Maceió,,,
Latin America,Brazil,Natal,,,Calculated using annual demand and fare
Latin America,Brazil,Niterói,44.9,,Calculated using annual demand and fare
Latin America,Brazil,Olinda,59.7,,Calculated using annual demand and fare
Latin America,Brazil,Porto Alegre,86.96,,Calculated using annual demand and fare
Latin America,Brazil,Recife,93.51,,Calculated using annual demand and fare
Latin America,Brazil,Rio de Janeiro,644.69,,Calculated using annual demand and fare
Latin America,Brazil,Salvador,,,
Latin America,Brazil,Santos,0.3,,Calculated using annual demand and fare
Latin America,Brazil,São Paulo,657.33,,Calculated using annual demand and fare
Latin America,Brazil,Sorocaba,,,
Latin America,Brazil,Sumaré,35.92,,Calculated using annual demand and fare
Latin America,Brazil,Teresina,,,
Latin America,Brazil,Uberaba,13.9,2015,Calculated using annual demand and fare
Latin America,Brazil,Uberlândia,3.71,,Calculated using annual demand and fare
Latin America,Chile,Santiago,66.3,,Calculated using annual demand and fare
Latin America,Colombia,Barranquilla,15,,Calculated using annual demand and fare
Latin America,Colombia,Bogotá,272.94,,Calculated using annual demand and fare
Latin America,Colombia,Bucaramanga,9.65,,Calculated using annual demand and fare
Latin America,Colombia,Cali,58.07,,Calculated using annual demand and fare
Latin America,Colombia,Medellín,7.87,,Calculated using annual demand and fare
Latin America,Colombia,Pereira,12.5,,Calculated using annual demand and fare
Latin America,Ecuador,Guayaquil,13.91,,Calculated using annual demand and fare
Latin America,Ecuador,Quito,43.74,,Calculated using annual demand and fare
Latin America,El Salvador,Gran San Salvador,1.87,,Calculated using annual demand and fare
Latin America,Guatemala,Guatemala,5.75,,Calculated using annual demand and fare
Latin America,Mexico,Chihuahua,3.81,,Calculated using annual demand and fare
Latin America,Mexico,Ecatepec,14.22,,Calculated using annual demand and fare
Latin America,Mexico,Guadalajara,11.29,,Calculated using annual demand and fare
Latin America,Mexico,Guadalupe,,,
Latin America,Mexico,León de los Aldama,22.4,,Calculated using annual demand and fare
Latin America,Mexico,Mexico City,81.15,,Calculated using annual demand and fare
Latin America,Mexico,Juárez,3.81,,Calculated using annual demand and fare
Latin America,Mexico,Monterrey,,,
Latin America,Mexico,Nezahualcoyotl,13.21,,Calculated using annual demand and fare
Latin America,Mexico,Pachuca,11.49,,Calculated using annual demand and fare
Latin America,Mexico,Puebla,23.97,,Calculated using annual demand and fare
Latin America,Panama,Panama,,,
Latin America,Peru,Lima,55.95,,Calculated using annual demand and fare
Latin America,Trinidad and Tobago,Port of Spain - Arima,,,
