"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"Year system commenced","system info","Latin America","El Salvador","Gran San Salvador","2013",NA,"www.vmt.gob.sv",NA,0
"Year system commenced","system info","Latin America","Guatemala","Guatemala","2007",NA,"",NA,0
"Year system commenced","system info","Latin America","Mexico","Chihuahua","2013",NA,"EMBARQ México",NA,0
"Year system commenced","system info","Latin America","Mexico","Ecatepec","2010",NA,"www.transmasivo.com.mx",NA,0
"Year system commenced","system info","Latin America","Mexico","Guadalajara","2009",NA,"",NA,0
"Year system commenced","system info","Latin America","Mexico","Guadalupe","2005",NA,"",NA,0
"Year system commenced","system info","Latin America","Mexico","León de los Aldama","2006",NA,"oruga-sit.leon.gob.mx",NA,0
"Year system commenced","system info","Latin America","Mexico","Mexico City","2005",NA,"www.metrobus.cdmx.gob.mx",NA,0
"Year system commenced","system info","Latin America","Mexico","Juárez","2013",NA,"vivirenjuarez.wix.com",NA,0
"Year system commenced","system info","Latin America","Mexico","Monterrey","2014",NA,"ecovia.nl.gob.mx",NA,0
"Year system commenced","system info","Latin America","Mexico","Nezahualcoyotl","2013",NA,"www.transmasivo.com.mx",NA,0
"Year system commenced","system info","Latin America","Mexico","Pachuca","2015",NA,"www.sibrtonline.org",NA,0
"Year system commenced","system info","Latin America","Mexico","Puebla","2013",NA,"es.wikipedia.org",NA,0
"Year system commenced","system info","Latin America","Panama","Panama","2011",NA,"",NA,0
"Year system commenced","system info","Latin America","Peru","Lima","1972",NA,"Busway",NA,0
"Year system commenced","system info","Latin America","Trinidad and Tobago","Port of Spain - Arima","2011",NA,"",NA,0
"Year system commenced","system info","Latin America","Uruguay","Montevideo","2012",NA,"",NA,0
"Year system commenced","system info","Latin America","Venezuela","Caracas","2012",NA,"",NA,0
"Year system commenced","system info","Latin America","Venezuela","Merida","2007",NA,"",NA,0
"Year system commenced","system info","Latin America","Venezuela","Barquisimeto","2013",NA,"www.vtv.gob.ve",NA,0
"Year system commenced","system info","Oceania","Australia","Adelaide","1986",NA,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia",NA,0
"Year system commenced","system info","Oceania","Australia","Brisbane","2000",NA,"www.tmr.qld.gov.au",NA,0
"Year system commenced","system info","Oceania","Australia","Sydney - Blacktown - Rouse Hill","2007",NA,"",NA,0
"Year system commenced","system info","Oceania","Australia","Sydney - Liverpool - Parramatta","2003",NA,"",NA,0
"Year system commenced","system info","Oceania","Australia","Sydney - Parramatta - Rouse Hill","2007",NA,"",NA,0
"Year system commenced","system info","Oceania","New Zealand","Auckland","2008",NA,"www.aucklandmotorways.com",NA,0
"Year system commenced","system info","Europe","Belgium","Liège","1968",NA,"siteresources.worldbank.org",NA,0
"Year system commenced","system info","Europe","Czech Republic","Prague","1994",NA,"",NA,0
"Year system commenced","system info","Europe","Finland","Helsinki","2003",NA,"COST - European Cooperation in Science and Technology, 2006  change the brand",NA,0
"Year system commenced","system info","Europe","France","Belfort","2013",NA,"info.optymo.fr",NA,0
"Year system commenced","system info","Europe","France","Caen","2002",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Cannes","2013",NA,"www.silteplait.info",NA,0
"Year system commenced","system info","Europe","France","Châlon-sur-Saône","2012",NA,"www.ville-rail-transports.com",NA,0
"Year system commenced","system info","Europe","France","Douai","2006",NA,"Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl",NA,0
"Year system commenced","system info","Europe","France","Evry","1975",NA,"snotice.fr",NA,0
"Year system commenced","system info","Europe","France","La Rochelle","2009",NA,"www.ville-larochelle.fr",NA,0
"Year system commenced","system info","Europe","France","Le Mans","2016",NA,"www.francebleu.fr",NA,0
"Year system commenced","system info","Europe","France","Lille","2008",NA,"www.nbrti.org  bhns.fr",NA,0
"Year system commenced","system info","Europe","France","Lorient","2007",NA,"COST - European Cooperation in Science and Technology .",NA,0
"Year system commenced","system info","Europe","France","Lyon","2006",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Maubeuge","2008",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Metz","2013",NA,"mettis.metzmetropole.fr",NA,0
"Year system commenced","system info","Europe","France","Nancy","2001",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Nantes","2006",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","France","Nice","2010",NA,"bhns.fr",NA,0
"Year system commenced","system info","Europe","France","Nîmes","2012",NA,"trambus.nimes-metropole.fr",NA,0
"Year system commenced","system info","Europe","France","Paris","1993",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","France","Rouen","2001",NA,"www.la-crea.fr",NA,0
"Year system commenced","system info","Europe","France","Saint-Nazaire","2012",NA,"www.aup-urba.fr",NA,0
"Year system commenced","system info","Europe","France","Strasbourg","2013",NA,"www.lemoniteur.fr",NA,0
"Year system commenced","system info","Europe","France","Toulouse","2008",NA,"Viva 2010 ( www.uncrd.or.jp ); CERTU 2010",NA,0
"Year system commenced","system info","Europe","Germany","Essen","1980",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Germany","Hamburg","2005",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Germany","Oberhausen","1996",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Ireland","Dublin","1997",NA,"Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010",NA,0
"Year system commenced","system info","Europe","Italy","Brescia","2006",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Italy","Prato","2003",NA,"www.uitp.org",NA,0
"Year system commenced","system info","Europe","Netherlands","Almere","2004",NA,"",NA,0
"Year system commenced","system info","Europe","Netherlands","Amsterdam","2002",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Netherlands","Eindhoven","2003",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Europe","Netherlands","Enschede","2000",NA,"www.uitp.org",NA,0
"Year system commenced","system info","Europe","Netherlands","Utrecht","2001",NA,"Viva 2010 ( www.uncrd.or.jp ); www.ashford.gov.uk ; www.chinabrt.org",NA,0
"Year system commenced","system info","Europe","Portugal","Lisbon","1990",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Spain","Barcelona","2007",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Spain","Castellón","2009",NA,"",NA,0
"Year system commenced","system info","Europe","Spain","Madrid","1995",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Spain","Granada","2014",NA,"www.granadadirect.com",NA,0
"Year system commenced","system info","Europe","Sweden","Gothenburg","2003",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Sweden","Jonkoping","1996",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Sweden","Stockholm","1998",NA,"",NA,0
"Year system commenced","system info","Europe","Switzerland","Zurich","2007",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Turkey","Istanbul","2007",NA,"www.istanbulhotels.com",NA,0
"Year system commenced","system info","Europe","United Kingdom","Bradford","2002",NA,"webarchive.nationalarchives.gov.uk",NA,0
"Year system commenced","system info","Europe","United Kingdom","Cambridge","2011",NA,"www.cambridgeshire.gov.uk",NA,0
"Year system commenced","system info","Europe","United Kingdom","Crawley","2003",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Europe","United Kingdom","Edinburgh","2004",NA,"www.ashford.gov.uk",NA,0
"Year system commenced","system info","Europe","United Kingdom","Fareham - Gosport","2012",NA,"www3.hants.gov.uk",NA,0
"Year system commenced","system info","Europe","United Kingdom","Kent","2006",NA,"www.ashford.gov.uk",NA,0
"Year system commenced","system info","Europe","United Kingdom","Leeds","1995",NA,"www.ashford.gov.uk",NA,0
"Year system commenced","system info","Europe","United Kingdom","London","2010",NA,"www.tfl.gov.uk",NA,0
"Year system commenced","system info","Europe","United Kingdom","Luton","2006",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Europe","United Kingdom","Manchester","1996",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Europe","United Kingdom","Runcorn","1971",NA,"omnibuses.blogspot.com.br",NA,0
"Year system commenced","system info","Europe","United Kingdom","Swansea","2009",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Europe","United Kingdom","York","2006",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Northern America","Canada","Brampton","2010",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Northern America","Canada","Gatineau","2013",NA,"ici.radio-canada.ca",NA,0
"Year system commenced","system info","Northern America","Canada","Halifax","2005",NA,"Diaz R. (editor) Hinebaugh D. (director) , Characteristics of Bus Rapid Transit for Decision-Making (CBRT), FTA, February 2009",NA,0
"Year system commenced","system info","Northern America","Canada","Ottawa","1983",NA,"Bus Rapid Transit Planning Guide (ITDP)",NA,0
"Year system commenced","system info","Northern America","Canada","Vancouver","1996",NA,"",NA,0
"Year system commenced","system info","Northern America","Canada","Waterloo","2005",NA,"Grand River Transit",NA,0
"Year system commenced","system info","Northern America","Canada","Winnipeg","2012",NA,"Winnipeg Transit",NA,0
"Year system commenced","system info","Northern America","Canada","York Regional Municipality","2005",NA,"Diaz R. (editor) Hinebaugh D. (director) , Characteristics of Bus Rapid Transit for Decision-Making (CBRT), FTA, February 2009",NA,0
"Year system commenced","system info","Northern America","United States","Alexandria - Arlington","2014",NA,"www.washingtonpost.com",NA,0
"Year system commenced","system info","Northern America","United States","Albuquerque","2004",NA,"www.cabq.gov",NA,0
"Year system commenced","system info","Northern America","United States","Boston","2002",NA,"www.mbta.com",NA,0
"Year system commenced","system info","Northern America","United States","Chicago","2012",NA,"www.brtchicago.com",NA,0
"Year system commenced","system info","Northern America","United States","Cleveland","2009",NA,"www.riderta.com",NA,0
"Year system commenced","system info","Northern America","United States","Eugene","2007",NA,"LTD",NA,0
"Year system commenced","system info","Northern America","United States","Fort Collins","2014",NA,"www.coloradoan.com",NA,0
"Year system commenced","system info","Northern America","United States","Hartford County","2015",NA,"ctfastrak.com",NA,0
"Year system commenced","system info","Northern America","United States","Kansas City","2005",NA,"www.kcata.org",NA,0
"Year system commenced","system info","Northern America","United States","Las Vegas","2004",NA,"www.lasvegassun.com",NA,0
"Year system commenced","system info","Northern America","United States","Los Angeles","2005",NA,"",NA,0
"Year system commenced","system info","Northern America","United States","Miami","1997",NA,"www.gobrt.org",NA,0
"Year system commenced","system info","Northern America","United States","New York","2008",NA,"web.mta.info",NA,0
"Year system commenced","system info","Northern America","United States","Oakland","2003",NA,"Diaz R. (editor) Hinebaugh D. (director) , Characteristics of Bus Rapid Transit for Decision-Making (CBRT), FTA, February 2009",NA,0
"Year system commenced","system info","Northern America","United States","Orlando","1997",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Northern America","United States","Phoenix","2008",NA,"Diaz R. (editor) Hinebaugh D. (director) , Characteristics of Bus Rapid Transit for Decision-Making (CBRT), FTA, February 2009",NA,0
"Year system commenced","system info","Northern America","United States","Pittsburgh","1977",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Northern America","United States","San Bernardino","2014",NA,"www.omnitrans.org",NA,0
