"category","obs","nas","no_nas","availability","timeliness","homogeneity"
"additional information",2884,626,2258,78.3,3.4,6.8
"general info",1442,177,1265,87.7,5.1,6.3
"system cost",1236,1052,184,14.9,5.9,2.8
"system fleet",4738,3139,1599,33.7,3.4,9.6
"system image",618,278,340,55,2.8,3.4
"system info",3914,1487,2427,62,3,4.9
"system road safety",412,366,46,11.2,3.1,4.2
