City,Country,Year,System,Corridor,Data reliability from BRTdata,Population,"Population, metro area","Population density, metropolitan area",Year population,"Peak load, corridor (passengers per hour per direction)","Daily demand corridor(ppd)",Speed (kph) BRTdata,Speed (kph) ITDP,Year Speed (kph) BRTdata,Validation,Corridor length (km) BRTdata,Corridor Length (km) ITDP,Year Corridor length (km) BRTdata,Validation,Busway alignment,Dedicated right-of-way,Off-board fare collection,Intersection treatments,Platform-level boarding,BRT BASICS,Multiple routes,Peak frequency 2013,Off-peak frequency 2013,"Express, limited, and local services",Control center,Located In top ten corridors,Hours of operations,Demand Profile,Multi-corridor network,SERVICE PLANNING,Passing lanes at stations,Minimizing bus emissions,Stations set back from intersections,Center stations,Pavement quality,INFRASTRUCTURE,Distances between stations,Safe and comfortable stations,Number of doors on bus,Docking bays and sub-stops,Sliding doors in BRT stations,STATIONS,Branding,Passenger information,COMMUNICATIONS,Universal access,Integration with other public transport,Pedestrian access,Secure bicycle parking,Bicycle lanes,Bicycle-sharing integration,ACCESS AND INTEGRATION,TOTAL 100,MINIMUM BRT BASICS REQUIRED,Commercial Speeds,"Peak passengers per hour per direction (pphpd) below 1,000",Lack of enforcement of right-of-way,Significant gap between bus floor and station platform,Overcrowding,"Poorly-maintained Busway, Buses, Stations and Technology Systems",Peak frequency 2014,Off-peak frequency 2014,POINT DEDUCTIONS,TOTAL SCORE,CLASSIFICATION
Santiago,Chile,2014,Transantiago,"Avenidas Las Industrias, Pedro Aguirre Cerda and Santa Rosa",,"5,879,000","6,883,563",446.9,2010,,,,>20,,0,,15.2,,0,8,8,0,6,0,22,4,,,0,3,2,2,3,0,14,4,0,3,0,0,7,2,1,3,1,0,7,2,0,2,1,2,2,0,0,0,5,57,YES,0,0,0,0,0,0,0,0,0,57,BRONZE
Beijing,China,2013,Beijing BRT,Entire Network,,,,,,,,,>20,,,,59,,0,4,4,6,0,6,20,4,3,2,0,3,2,2,3,0,19,0,0,2,2,1,5,2,2,3,0,0,7,3,2,5,0,0,0,0,1,0,1,57,YES,0,0,0,0,0,0,,,0,57,BRONZE
Changde,China,2014,Changde BRT,Changde Dadao,,"1,401,000","1,401,000",558.2,2013,800,NI,31,>20,2013,1,18.9,18.9,2013,1,8,8,4,0,7,27,4,,,0,3,2,2,0,0,11,0,1,0,0,2,3,0,3,3,1,1,8,3,2,5,0,3,0,0,1,0,4,58,YES,0,-5,0,0,0,0,0,0,-5,53,BASIC BRT
Changzhou,China,2013,Changzhou BRT,Entire Network,,,,,,,,,>20,,,,51.9,,0,7,7,7,0,6,27,4,3,2,0,3,2,2,3,2,21,0,1,1,0,2,4,2,2,3,1,1,9,3,2,5,0,0,1,0,1,0,2,68,YES,0,0,0,0,0,0,,,0,68,BRONZE
Chengdu,China,2014,Chengdu BRT,Erhuan Lu,,"7,415,590","14,047,625","1,200.00",2010,"6,650",NI,26,>20,2013,1,28.8,28.8,2013,1,8,8,8,7,7,38,4,,,0,3,2,2,0,0,11,0,1,3,1,2,7,0,3,0,1,1,5,3,2,5,0,3,2,0,1,0,6,72,YES,0,0,0,0,0,0,0,0,0,72,SILVER
Dalian,China,2014,Dalian BRT,Zhangqian Lu - Songjiang Lu - Huabei Lu - Xi'an Lu,,"2,992,000","2,992,000","1,165.50",2013,"6,430","87,000",24,>20,2011,1,9,9,2013,1,7,5,8,0,7,27,4,,,0,0,2,2,0,0,8,0,0,3,1,2,6,0,1,3,0,0,4,1,1,2,0,2,2,0,0,0,4,51,YES,0,0,0,0,0,0,0,0,0,51,BASIC BRT
Guangzhou,China,2013,Guangzhou BRT,Zhongshan Avenue,,,,,,,,,>20,,,,22.5,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,4,0,3,0,2,9,2,3,3,1,1,10,2,2,4,1,3,2,2,2,1,11,91,YES,0,0,0,0,0,0,,,0,91,GOLD
Hefei,China,2014,Hefei BRT,Hefei Line 1 (Changjiang),,"2,222,000","2,222,000","2,401.80",2013,"3,600","65,250",16,16-19,2011,1,7.7,7.7,2017,1,8,4,8,0,0,20,4,,,0,3,2,2,0,0,11,4,1,3,2,2,12,0,3,3,1,0,7,0,1,1,0,2,2,0,2,0,6,57,YES,-3,0,-2,0,0,0,0,0,-5,52,BASIC BRT
Jinan,China,2013,Jinan BRT,Beiyuan dajie,,,,,,,,,>20,,,,15,,0,7,7,7,0,4,25,4,3,2,0,3,2,2,3,2,21,0,1,1,3,2,7,2,2,3,0,1,8,3,2,5,0,0,0,0,1,0,1,67,YES,0,0,0,0,0,0,,,0,67,BRONZE
Jinan,China,2013,Jinan BRT,Lishan Lu,,,,,,,,,>20,,,,4.8,,0,7,7,7,0,4,25,4,3,2,0,3,2,2,3,2,21,0,1,1,3,2,7,2,2,3,0,1,8,3,2,5,0,0,0,0,1,0,1,67,YES,0,0,0,0,0,0,,,0,67,BRONZE
Jinan,China,2013,Jinan BRT,Erhuandonglu,,,,,,,,,>20,,,,8,,0,7,7,7,0,4,25,4,3,2,0,3,2,2,3,2,21,0,1,1,3,2,7,2,2,3,0,1,8,3,2,5,0,0,0,0,1,0,1,67,YES,0,0,0,0,0,0,,,0,67,BRONZE
Jinan,China,2013,Jinan BRT,Gongyebeilu-Aotizonglu Line 6,,,,,,,,,>20,,,,6.6,,0,7,7,7,0,4,25,4,3,2,0,3,2,2,3,2,21,0,1,1,3,2,7,2,2,3,0,1,8,3,2,5,0,0,0,0,1,0,1,67,YES,0,0,0,0,0,0,,,0,67,BRONZE
Jinan,China,2014,Jinan BRT,B7 corridor Xierhuan,,"4,340,000","6,070,000",742.3,2015,NI,NI,NI,>20,NI,0,7.8,7.1,2015,0,8,8,8,0,7,31,0,,,0,3,0,2,0,2,7,0,1,0,2,2,5,2,3,3,0,1,9,3,2,5,0,3,3,0,2,0,8,65,YES,0,-5,0,0,0,0,0,0,-5,60,BRONZE
Lanzhou,China,2013,Lanzhou BRT,Anning Lu,,,,,,,,,>20,,,,8.6,,0,7,7,7,5,6,32,4,3,2,0,3,2,2,0,2,18,4,1,3,1,2,11,2,3,3,1,1,10,3,2,5,0,2,2,2,2,0,8,84,YES,0,0,0,0,0,0,,,0,84,SILVER
Lianyungang,China,2014,Lianyungang BRT,Xingfu-Hailian-Xingangcheng-Gangcheng,,"967,000","967,000",805.4,2013,"1,650","20,000",18,16-19,2013,1,34,32.8,2013,0,8,8,8,0,7,31,4,,,0,3,2,2,0,0,11,0,1,0,1,2,4,0,3,3,1,1,8,3,2,5,0,3,0,0,2,0,5,64,YES,-3,0,0,0,0,0,0,0,-3,61,BRONZE
Urumuqi,China,2014,Urumuqi BRT,Corridor 1 (Beijinglu-Xibeilu-Yangzijianglu),,"2,518,000","2,518,000",263,2013,NI,NI,NI,<13,NI,0,16.4,15.5,2016,0,8,8,8,0,7,31,4,,,0,3,2,2,3,2,16,0,0,0,2,2,4,2,3,3,1,1,10,3,2,5,0,3,1,0,0,0,4,70,YES,-10,0,0,0,0,0,0,0,-10,60,BRONZE
Xiamen,China,2014,Xiamen BRT,(no corridor name),,,,,,,,,>20,,,,51,,0,8,8,8,7,7,38,4,,,2,3,2,2,0,2,15,0,1,3,1,2,7,0,3,3,1,1,8,3,2,5,0,3,1,0,0,0,4,77,YES,0,0,0,0,-3,0,0,0,-3,74,SILVER
Yancheng,China,2014,Yancheng BRT,Kaifang Dadao - Jiefang Nanlu,,"760,000","760,000",895.8,2013,"1,300","33,000",18,16-19,2012,1,16,16,2013,1,8,8,8,0,7,31,4,,,0,3,0,2,0,0,9,0,0,0,1,2,3,2,3,3,0,1,9,2,1,3,0,2,1,0,0,0,3,58,YES,-3,0,0,0,0,0,0,0,-3,55,BRONZE
Yinchuan,China,2014,Yinchuan BRT,Huanghe East-Nanxun-Qinghe,,"1,130,000","1,130,000",433.7,2013,"3,600","87,000",15,13-16,2013,1,17,17,2013,1,8,8,8,0,5,29,4,,,0,3,2,2,0,0,11,0,1,0,1,2,4,2,3,3,1,1,10,1,2,3,0,3,1,0,1,0,5,62,YES,-6,0,0,0,0,0,0,0,-6,56,BRONZE
Zaozhuang,China,2014,Zaozhuang BRT,B1,,"2,258,000","2,258,000",735.6,2013,700,"30,000",30,>20,2011,1,33,33.5,2013,1,5,8,5,0,7,25,4,,,3,3,2,2,0,2,16,0,0,0,1,2,3,0,3,3,1,0,7,3,1,4,0,2,2,0,1,0,5,60,YES,0,0,0,0,0,0,-3,0,-3,57,BRONZE
Zaozhuang,China,2014,Zaozhuang BRT,B3,,,,,,,,,>20,,,,32.2,,0,8,8,8,0,7,31,0,,,0,3,0,2,0,2,7,0,0,0,1,2,3,0,3,3,1,1,8,3,1,4,0,2,2,0,0,0,4,57,YES,0,-5,0,0,0,0,-3,0,-8,49,BASIC BRT
Zaozhuang,China,2014,Zaozhuang BRT,B5,,,,,,,,,>20,,,,18.5,,0,8,8,8,0,7,31,0,,,0,3,0,2,0,2,7,0,0,0,1,2,3,0,3,3,1,1,8,3,1,4,0,2,2,0,1,0,5,58,YES,0,-5,0,0,0,0,-3,0,-8,50,BASIC BRT
Zhengzhou,China,2014,Zhengzhou BRT,(no corridor name),,"5,872,000","5,872,000","5,813.90",2013,"5,600","650,000",18.36,13-16,2016,0,30.5,30.5,2013,1,8,8,8,0,7,31,4,,,0,3,2,2,0,0,11,0,0,0,1,2,3,2,3,3,1,1,10,3,2,5,0,3,1,0,1,0,5,65,YES,-6,0,0,0,0,0,0,0,-6,59,BRONZE
Zhongshan,China,2014,Zhongshan BRT,Zhongshan 2nd-5th Rd - Jiangling Rd,,,,,,,,,>20,,,,13,,0,8,8,8,0,7,31,4,,,0,3,2,2,0,0,11,0,1,0,2,2,5,0,3,3,1,1,8,3,2,5,1,3,3,0,0,0,7,67,YES,0,-5,0,0,0,0,0,0,-5,62,BRONZE
Barranquilla,Colombia,2013,Transmetro,(no corridor name),,,,,,,,,>20,,,,13.2,,0,7,7,7,5,6,32,0,3,2,2,3,2,2,3,2,19,3,1,3,2,2,11,2,3,3,1,1,10,3,2,5,3,0,2,0,0,0,5,82,YES,0,0,-3,0,-1,-1,,,-5,77,SILVER
Bogota,Colombia,2013,TransMilenio,Autonorte,,,,,,,,,>20,,,,11.6,,0,7,7,7,5,6,32,4,3,2,3,3,2,2,3,2,24,4,0,3,2,0,9,2,3,3,1,1,10,3,2,5,3,0,3,0,,0,6,86,YES,0,0,0,0,-3,0,,,-3,83,SILVER
Bogota,Colombia,2013,TransMilenio,Suba,,,,,,,,,>20,,,,9.6,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,4,0,3,2,2,11,2,3,3,1,1,10,3,2,5,3,0,3,1,2,0,9,92,YES,0,0,0,0,-3,0,,,-3,89,GOLD
Bogota,Colombia,2013,TransMilenio,Caracas,,,,,,,,,>20,,,,7.3,,0,7,7,7,5,6,32,4,3,2,3,3,2,2,3,2,24,4,0,3,2,0,9,2,3,3,1,1,10,3,2,5,3,0,3,0,0,0,6,86,YES,0,0,0,0,-3,0,,,-3,83,SILVER
Bogota,Colombia,2013,TransMilenio,Calle 80,,,,,,,,,>20,,,,7.5,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,4,0,3,2,0,9,2,3,3,1,1,10,3,2,5,3,0,3,0,2,0,8,89,YES,0,0,0,0,-3,0,,,-3,86,GOLD
Bogota,Colombia,2013,TransMilenio,Americas,,,,,,,,,>20,,,,12.7,,0,7,7,7,5,6,32,4,3,2,3,3,2,2,3,2,24,4,0,3,2,2,11,2,3,3,1,1,10,3,2,5,3,0,3,1,2,0,9,91,YES,0,0,0,0,-3,0,,,-3,88,GOLD
Bogota,Colombia,2013,TransMilenio,NQS,,,,,,,,,>20,,,,8.6,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,4,0,3,2,2,11,2,3,3,1,1,10,3,2,5,3,0,3,1,2,0,9,92,YES,0,0,0,0,-3,0,,,-3,89,GOLD
Bogota,Colombia,2013,TransMilenio,El Dorado,,,,,,,,,>20,,,,10.8,,0,7,7,7,6,6,33,2,3,2,2,3,2,2,3,2,21,4,0,3,2,2,11,2,3,3,1,1,10,3,2,5,3,0,3,1,2,0,9,89,YES,0,0,0,0,-3,0,,,-3,86,GOLD
Cali,Colombia,2013,MIO,1st phase (all corridors),,,,,,,,,>20,,,,39,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,3,0,3,2,2,10,2,3,3,1,1,10,3,1,4,3,0,2,0,0,0,5,86,YES,0,0,-1,0,-3,0,,,-4,82,SILVER
Medellin,Colombia,2013,MetroplÏs,(no corridor name),,,,,,,,,>20,,,,12.5,,0,7,7,7,5,6,32,0,3,2,0,3,2,2,3,2,17,3,3,3,2,2,13,2,3,3,1,1,10,3,2,5,3,3,2,0,0,0,8,85,YES,0,0,0,0,0,0,,,0,85,GOLD
Perira,Colombia,2013,MegabÏs,(no corridor name),,,,,,,,,>20,,,,19.15,,0,7,7,7,6,6,33,4,3,2,0,2,2,2,3,1,19,0,0,3,2,2,7,2,3,3,0,1,9,3,1,4,3,0,2,0,0,0,5,77,YES,0,0,0,0,0,0,,,0,77,SILVER
Guayaquil,Ecuador,2013,Metrovia,Troncal 3: Bastion-Centro,,,,,,,,,>20,,,,16.5,,0,7,6,7,6,6,32,4,3,2,0,2,2,2,3,1,19,0,0,3,0,2,5,2,3,3,0,1,9,3,1,4,3,0,2,0,0,0,5,74,YES,0,0,-3,0,-3,-1,,,-7,67,BRONZE
Guayaquil,Ecuador,2013,Metrovia,Troncal 1: Guasmo-RÕo Daule,,,,,,,,,>20,,,,13.9,,0,7,6,7,6,6,32,4,3,2,0,2,2,2,3,2,20,0,0,3,0,2,5,2,3,3,0,1,9,3,1,4,3,0,2,0,0,0,5,75,YES,0,0,-3,0,-3,-1,,,-7,68,BRONZE
Quito,Ecuador,2013,Metrobus-Q,"Trolebus, Central-Norte and Ecovia",,,,,,,,,>20,,,,40.9,,0,4,7,7,5,6,29,4,3,2,3,3,2,2,3,2,24,0,3,3,1,0,7,2,3,3,0,1,9,2,1,3,3,1,2,0,0,0,6,78,YES,0,0,-1,0,-3,0,,,-4,74,SILVER
Quito,Ecuador,2014,Metrobus,Corredor sur occidental,,"1,619,791","2,151,994",439.8,2010-2010-2001,"9,300","220,000",18,>20,2012,0,14,13.4,NI,0,7,5,7,6,7,32,4,,,0,1,2,2,3,2,14,1,0,2,2,2,7,2,2,0,1,0,5,0,1,1,3,3,2,0,0,0,8,67,YES,-1,0,0,0,0,-4,0,0,-5,62,BRONZE
Quito,Ecuador,2014,Metrobus,Corredor sur oriental,,"1,619,791","2,151,994",439.8,2010-2010-2001,"3,050","79,940",18,>20,NI,0,12.1,11.1,NI,0,5,6,7,6,7,31,1,,,1,1,2,2,3,2,12,1,2,3,2,2,10,2,2,3,1,0,8,3,1,4,3,3,2,0,0,0,8,73,YES,-1,0,0,0,-3,-3,0,0,-7,66,BRONZE
‘le-de-France (Greater Paris),France,2014,Trans-Val-de-Marne (TVM),TVM (Antony-La Croix de Berny - Saint-Maur-Cr_teil,,"2,243,833","12,223,100",711.7,"2,010","3,000","66,000",23,>20,2011,1,20,16.2,2011,0,8,8,7,5,0,28,4,,,0,3,0,2,3,2,14,0,3,3,0,2,8,2,2,3,1,0,8,2,2,4,2,3,3,0,1,0,9,71,YES,0,0,0,0,0,0,0,0,0,71,SILVER
Nantes,France,2013,Nantes Busway,Line 4,,,,,,,,,>20,,,,7,,0,7,7,6,4,4,28,0,3,2,0,3,2,2,3,0,15,0,2,1,0,0,3,2,2,3,0,0,7,3,2,5,3,3,3,1,0,1,11,69,YES,0,0,0,0,0,0,,,0,69,BRONZE
Rouen,France,2013,TEOR (Transport Est-Ouest Rouennais),(All Corridors),,,,,,,,,>20,,,,13,,0,7,7,6,6,6,32,4,3,2,0,3,2,?,3,0,17,0,0,2,0,0,2,2,2,3,1,0,8,2,2,4,3,3,3,1,1,0,11,74,YES,0,0,-1,0,0,0,,,-1,73,SILVER
Guatemala City,Guatemala,2014,Transmetro,Eje Sur,,"1,533,461","3,134,276","1,420.00",2013-2011-2011,"12,500","180,000",23,>20,NI,1,13,13,NI,1,8,8,8,6,7,37,4,,,3,3,2,1,3,2,18,2,3,3,0,2,10,0,3,3,1,0,7,3,1,4,2,3,3,0,1,0,9,85,YES,0,0,0,0,0,0,0,0,0,85,GOLD
Guatemala City,Guatemala,2014,Transmetro,Eje Central,,"1,533,461","3,134,276","1,420.00",2013-2011-2011,NI,"30,000",30,>20,NI,1,11,11.7,NI,0,5,8,8,6,7,34,0,,,0,3,2,1,2,2,10,0,3,3,0,2,8,2,3,3,0,0,8,3,1,4,3,3,3,0,0,0,9,73,YES,0,0,0,0,0,0,0,0,0,73,SILVER
Ahmedabad,India,2013,Janmarg,RTO-Maninagar,,,,,,,,,>20,,,,21.5,,0,7,7,7,4,6,31,4,3,2,0,2,2,1,3,2,19,0,1,3,2,0,6,2,3,2,1,1,9,3,2,5,2,1,1,0,0,0,4,74,YES,0,0,0,-1,-3,-2,,,-6,68,BRONZE
Ahmedabad,India,2013,Janmarg,Narol-Naroda,,,,,,,,,>20,,,,13.2,,0,7,7,7,4,6,31,4,3,2,0,2,2,1,3,2,19,4,1,3,2,0,10,2,3,2,1,1,9,3,2,5,2,1,1,0,0,0,4,78,YES,0,0,0,-1,-3,-2,,,-6,72,SILVER
Ahmedabad,India,2014,Janmarg,Sola-AEC,,"5,726,000","6,240,201","4,060.00",2010-2011,,,,>20,,,82,3.1,,0,8,8,8,4,7,35,4,,,0,2,2,2,0,2,12,0,1,3,2,1,7,2,3,2,1,1,9,3,2,5,2,3,1,0,0,0,6,74,YES,0,-5,0,-1,0,0,-3,0,-9,65,BRONZE
