"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Europe","Turkey","Istanbul",159,750000,10515,15,36,35,156,30000,2523,14160467,1.01,1181.8,52,"MetrobŸs",2007
"Europe","United Kingdom","Bradford",2,5467,46332,72,23.1,NA,22,NA,1098,523115,1.54,342.5,2.74,"Manchester Road",2002
"Europe","United Kingdom","Cambridge",10,12000,46332,70,9,60,12,NA,204,128000,4.16,3125,40,"Cambridgeshire Guided Busway",2011
"Europe","United Kingdom","Crawley",4,6000,46332,NA,NA,20,6,NA,2380,107053,3.54,400,24,"Fastway",2003
"Europe","United Kingdom","Edinburgh",NA,44000,46332,45,19,NA,15,NA,485.7,477940,NA,NA,5,"Fastlink",2004
"Europe","United Kingdom","Fareham - Gosport",NA,NA,46332,70,5,NA,12,NA,1945,194203,NA,486,3.4,"Eclipse",2012
"Europe","United Kingdom","Kent",NA,5726,46332,NA,NA,NA,NA,NA,1185,199370,NA,NA,15,"Fastrack",2006
"Europe","United Kingdom","Leeds",NA,31000,46332,57,38,NA,NA,NA,1098,750683,NA,525,4.2,"Superbus",1995
"Europe","United Kingdom","London",NA,9000,46332,40,28,NA,NA,NA,1094.5,8308369,NA,NA,20,"East London Transit",2010
"Europe","United Kingdom","Luton",NA,30000,46332,NA,NA,NA,NA,NA,4697,203641,NA,NA,5,"FTR train to plane",2006
"Europe","United Kingdom","Manchester",21,21000,46332,71,17,16,10,NA,2105,514417,4.77,NA,15.5,"QBC",1996
"Europe","United Kingdom","Runcorn",15,NA,46332,75,16,31,6,NA,1589.3,61789,3.08,507.9,19.3,"",1971
"Europe","United Kingdom","Swansea",NA,5000,46332,NA,NA,NA,NA,NA,1560,239600,NA,NA,13.5,"FTMetro",2009
"Europe","United Kingdom","York",7,5500,46332,57,11,NA,NA,NA,727,197783,5.85,NA,5,"FTR",2006
"Latin America","Argentina","Buenos Aires",122.22,600000,12510,46.3,44.7,24,30,3500,50.7,2891082,0.97,663.8,38.5,"Metrobus",2011
"Latin America","Argentina","Córdoba",9.14,58000,12510,29.8,40.3,NA,NA,NA,20,1329604,0.75,588.9,5.3,NA,2014
"Latin America","Argentina","Rosario",25.2,200000,12510,36,34.3,15,NA,NA,2116.1,909866,0.6,320,9.6,"",2012
"Latin America","Brazil","Belém",14.7,100000,11384,25.7,40.3,27.7,NA,NA,661.8,1439561,0.7,NA,6,NA,2014
"Latin America","Brazil","Belo Horizonte",211.15,1047374,11384,36.7,28.1,17.6,500,35000,524.7,2502557,0.96,473.5,39.3,"MOVE",1975
"Latin America","Brazil","Blumenau",14.73,82000,11384,44.1,46.3,20.6,NA,NA,137.8,338876,0.86,524.9,10.5,"",2011
"Latin America","Brazil","Brasília",11.59,301000,11384,40.8,36.2,NA,200,NA,491.6,2914830,0.78,949,91.1,NA,2011
"Latin America","Brazil","Campinas",38.1,200000,11384,43.8,28.9,NA,122,NA,801.1,1164098,0.91,557.3,13.4,"",1986
"Latin America","Brazil","Campo Grande",11.92,73000,11384,43,39.6,17.8,NA,NA,97.2,853622,0.78,NA,7.32,"Sistema Integrado de Transportes",1987
"Latin America","Brazil","Caxias do Sul",NA,NA,11384,44.1,46.3,NA,NA,NA,201.3,474853,0.78,266.7,9.6,"",1990
"Latin America","Brazil","Criciúma",1.99,10470,11384,44.1,46.3,40,21,NA,176.8,206918,0.91,500,8,NA,1996
"Latin America","Brazil","Curitiba",100.77,561000,11384,26,46,NA,67,12500,179.6,1879355,0.86,682.1,83.9,"Rede Integrada de Transporte",1974
"Latin America","Brazil","Feira de Santana",NA,NA,11384,32.4,37.5,NA,NA,NA,408.5,617528,0.7,300,1.2,"",2005
"Latin America","Brazil","Fortaleza",37.46,286777,11384,32.4,37.5,23,256,10000,625.3,2591188,0.62,293.1,8.5,"Sistema Integrado de Transportes",1980
"Latin America","Brazil","Goiânia",67.95,378300,11384,44,30,17.8,110,20000,410,1430697,0.86,602.3,26.5,NA,1976
"Latin America","Brazil","Guarulhos",5.72,30000,11384,29.5,36.5,NA,NA,NA,2532.9,1324781,0.91,925,3.7,"",2013
"Latin America","Brazil","Jaboatão dos Guararapes",NA,NA,11384,32.4,37.5,NA,NA,NA,1332.3,686122,0.64,500,1.5,NA,2012
"Latin America","Brazil","João Pessoa",40.6,276243,11384,32.4,37.5,18,200,37070,443.4,791438,0.7,560,7.3,NA,2010
"Latin America","Brazil","Joinville",NA,NA,11384,29,26.5,18.5,20,NA,101.1,562151,0.96,400,9.2,"",1999
"Latin America","Brazil","Juiz de Fora",NA,NA,11384,37.2,50.7,NA,116,NA,360.4,555284,0.65,387.5,3.1,"",1982
"Latin America","Brazil","Londrina",6.55,37000,11384,34,36,NA,123,NA,144.1,548249,0.84,308.3,6.8,"",2010
"Latin America","Brazil","Maceió",NA,NA,11384,32.4,37.5,NA,NA,NA,597.8,1013773,0.71,750,15,NA,2010
"Latin America","Brazil","Natal",NA,NA,11384,25,36,NA,NA,NA,480.5,869954,0.69,437.5,3.5,"Sistema Integrado de Transportes",2008
"Latin America","Brazil","Niterói",44.9,250000,11384,16.5,46.5,NA,120,NA,2237,496696,0.86,600,6,NA,2010
"Latin America","Brazil","Olinda",59.7,447695,11384,NA,NA,NA,268,NA,1332.3,810826,0.64,NA,13.5,"Sistema Estrutural Integrado (Leste-Oeste)",2005
"Latin America","Brazil","Porto Alegre",86.96,491600,11384,28,43,19.8,350,16800,408,1476867,0.84,570.6,62,"",1977
"Latin America","Brazil","Recife",93.51,701259,11384,31.3,45.7,NA,243,NA,1332.3,1617183,0.64,1494.1,25.4,"Via Livre",1982
"Latin America","Brazil","Rio de Janeiro",644.69,3132600,11384,19.5,48.7,21.8,600,65400,2208.8,6476631,0.98,651.2,140,"BRT Rio",2011
"Latin America","Brazil","Salvador",NA,NA,11384,22.4,41.4,NA,224,NA,832.6,2921087,0.78,341.7,8.2,"Sistema de Transporte Coletivo por ïnibus de Salvador",2005
"Latin America","Brazil","Santos",0.3,1705,11384,37.2,50.7,13,28,NA,708.2,433966,0.84,300,2.6,"",2009
"Latin America","Brazil","São Paulo",657.33,3194000,11384,31.1,36.8,19.3,269,28024,2532.9,11967825,0.98,355.3,129.8,NA,1980
"Latin America","Brazil","São Paulo - Metropolitan area",72.5,360000,11384,31.1,36.8,21,NA,NA,2634.7,14360674,0.96,625,45,NA,1988
"Latin America","Brazil","Sorocaba",NA,NA,11384,42,26,NA,NA,NA,1335.5,644919,0.96,NA,2.8,"",2012
"Latin America","Brazil","Sumaré",35.92,75000,11384,39,22,NA,NA,NA,801.1,265955,2.28,1090,32.7,NA,2010
"Latin America","Brazil","Teresina",NA,NA,11384,31.2,24.4,NA,NA,NA,113,844245,0.65,750,1.5,"",2011
"Latin America","Brazil","Uberaba",13.9,68000,11384,NA,NA,25,15,NA,70.5,322126,0.8,500,5,"Vetor",2015
"Latin America","Brazil","Uberlândia",3.71,22000,11384,26,38,25,20,3583,159.1,662362,0.8,500,7.5,NA,2006
"Latin America","Chile","Santiago",66.3,340800,14528,23,35,26.2,185,13500,448,5879000,0.93,416.1,91.85,"Transantiago corridors",2006
"Latin America","Colombia","Barranquilla",15,115000,7904,18.6,50.2,22,54,NA,3650,1386865,0.62,933.3,14,"Transmetro",2010
"Latin America","Colombia","Bogotá",272.94,2213236,7904,26,59,26.2,320,48000,3347.4,7760500,0.69,836.3,112.9,NA,2000
"Latin America","Colombia","Bucaramanga",9.65,72000,7904,34,48,20,45,4525,740,525119,0.64,530,8.95,"Metrol’nea",2010
"Latin America","Colombia","Cali",58.07,471361,7904,17,48,17.8,25,13000,327,2344703,0.59,736.1,36.07,"MIO",2008
"Latin America","Colombia","Medellín",7.87,60000,7904,19,51,16,40,2450,5840,2223078,0.62,640,18,NA,2011
"Latin America","Colombia","Pereira",12.5,96000,7904,22,46,20,42,6900,828.1,469644,0.62,553.6,15.5,"Megabœs",2006
"Latin America","Ecuador","Guayaquil",13.91,310000,6346,16,83,21.5,30,15000,7227,2690000,0.25,400,45.4,"Metrov’a",2006
"Latin America","Ecuador","Quito",43.74,833095,6346,35,62,17.8,140,11700,439.8,1619791,0.25,561,69.3,"Metrobus-Q",1995
"Latin America","El Salvador","Gran San Salvador",1.87,27000,4120,NA,NA,15.4,140,3000,3689.7,2177432,0.33,711.1,6.4,"SITRAMSS",2013
"Latin America","Guatemala","Guatemala",5.75,210000,3673,76,23,26.5,30,12500,1420,1533461,0.13,1200,35,"Transmetro",2007
"Latin America","Mexico","Chihuahua",3.81,50000,10326,63.4,14.4,NA,NA,NA,47.1,819543,0.36,622.2,22.4,"ViveBœs",2013
"Latin America","Mexico","Ecatepec",14.22,140000,10326,20.7,78.3,25,20,9000,2450.7,2020686,0.48,750,16.5,"Mexibœs",2010
"Latin America","Mexico","Guadalajara",11.29,127000,10326,27,28,28,12,9000,1967.5,1494134,0.42,590,16,"Macrobœs",2009
"Latin America","Mexico","Guadalupe",NA,15000,10326,41.2,54.5,20,15,NA,553.1,690600,NA,447.1,7.6,"TransMetro",2005
"Latin America","Mexico","Juárez",3.81,50000,10326,59,36.1,NA,NA,NA,67.9,1332131,0.36,757.6,25,NA,2013
"Latin America","Mexico","León de los Aldama",22.4,220500,10326,27,33.9,25.5,45,7000,6382,1278087,0.48,400,31.8,NA,2006
"Latin America","Mexico","Mexico City",81.15,1065000,10326,20.7,77.9,NA,77,12000,5871,8851080,0.36,706.2,125,"Metrobœs",2005
"Latin America","Mexico","Monterrey",NA,NA,10326,41.2,54.5,NA,NA,NA,553.1,1135550,0.67,771.8,30.1,"Ecov’a",2014
"Latin America","Mexico","Nezahualcoyotl",13.21,130000,10326,20.7,78.3,16.9,20,NA,2450.7,2155996,0.48,625.9,16.9,"Mexibœs",2013
"Latin America","Mexico","Pachuca",11.49,114000,NA,NA,NA,NA,NA,NA,NA,NA,NA,634.6,16.5,NA,NA
"Latin America","Mexico","Puebla",23.97,251704,10326,45,40.6,NA,NA,NA,76.6,1539819,0.45,489.4,32.3,"Red Urbana de Transporte Articulado (RUTA)Ê",2013
"Latin America","Panama","Panama",NA,NA,11949,6.3,73.5,NA,NA,9500,498,813097,0.25,294.1,5,"Metrobœs",2011
"Latin America","Peru","Lima",55.95,350000,6541,12,62,25.5,117,22800,3008.8,7605742,0.76,700,26,"Metropolitano",1972
"Latin America","Trinidad and Tobago","Port of Spain - Arima",NA,NA,21324,NA,NA,NA,NA,NA,573.1,442579,0.39,NA,24.9,"",2011
"Latin America","Uruguay","Montevideo",4.64,25000,16807,43,45,NA,18,NA,203.5,1335484,0.88,370,6.3,"Sistema de Transporte Metropolitano",2012
"Latin America","Venezuela","Barquisimeto",26.63,132830,12772,NA,NA,26,NA,NA,283.4,1242351,0.95,582.9,23.9,"Transbarca",2013
"Latin America","Venezuela","Caracas",4.01,30000,12772,24.7,56.9,NA,NA,NA,4009,1943901,0.64,470,5.2,"BusCaracas",2012
"Latin America","Venezuela","Merida",4.01,30000,12772,44,54,25,16,9000,169.5,250303,0.64,625,13.1,"Tromerca",2007
"Northern America","Canada","Brampton",22,37357,50235,91,7.2,NA,12,1343,945.4,523911,2.85,1157.5,84.5,"ZŸm",2010
"Northern America","Canada","Gatineau",NA,NA,50235,74,14.3,NA,24,3500,196.6,265350,2.74,1200,12,"Rapibus",2013
"Northern America","Canada","Halifax",NA,7266,50235,NA,NA,NA,NA,NA,71,390096,2.66,NA,39.44,"Metrolink",2005
"Northern America","Canada","Ottawa",125,220000,50235,72,19,45,180,10500,209.6,951727,2.7,621.1,35.4,"Transitway",1983
"Northern America","Canada","Vancouver",44,100000,50235,58,25,23,NA,NA,735.6,578041,2.09,1900,27,"TransLink",1996
"Northern America","Canada","Waterloo",7,14000,50235,88,5,NA,4,NA,576.7,98780,2.28,1486,52,"iXpress",2005
"Northern America","Canada","Winnipeg",69,166000,50235,79,13,NA,45,NA,1430,663617,1.98,NA,3.6,"RT",2012
"Northern America","Canada","York Regional Municipality",6,35300,50235,NA,NA,NA,NA,NA,945.4,1032524,3.04,NA,59,"Viva",2005
"Northern America","United States","Albuquerque",2,10542,54630,95,1.7,28,4,NA,37,556495,1,1106.3,17.7,"Rapid Ride",2004
"Northern America","United States","Alexandria - Arlington",0,1412,NA,64,NA,NA,10,NA,NA,NA,NA,581.8,6.4,"Metroway",NA
"Northern America","United States","Boston",15,33386,54630,45,35,17.3,18,NA,504,645966,2.1,322,10.3,"MBTA Silver Line",2002
"Northern America","United States","Chicago",6,12500,54630,63,17,25.4,12,NA,433.1,2714856,2.25,805,25.4,"BRTChicago",2012
"Northern America","United States","Cleveland",8,15800,54630,89,2,17.7,10,NA,8920.2,396815,2.25,317,11.4,"HealthLine",2009
"Northern America","United States","Eugene",4,10000,54630,9,4,24,6,500,28.8,156185,1.75,787,18.88,"EmX",2007
"Northern America","United States","Everett",2,4200,54630,86,11,NA,5,NA,180.2,235682,2.25,1921.4,26.9,"Swift",2009
"Northern America","United States","Kansas City",4,13900,54630,97,1.3,22.5,6,NA,99,464310,1.5,800,35.2,"MAX",2005
"Northern America","United States","Las Vegas",43,34189,54630,93,3.6,21,NA,NA,1288.9,606762,6,0.7,63.05,"RTC Express Routes",2004
"Northern America","United States","Los Angeles",12,33000,54630,44,23,32,15,NA,1017,3792621,1.75,1635.7,22.9,"",2005
"Northern America","United States","Miami",11,23000,54630,94,3.7,45,NA,NA,912.5,413892,2.25,607.1,34,"South Miami-Dade Busway",1997
"Northern America","United States","New York",115,199566,54630,44,23,16.4,17,NA,720,8405837,2.75,805,79.78,"Select Bus Service (SBS)",2008
"Northern America","United States","Oakland",NA,13000,54630,78,15.8,NA,12,NA,2475.2,400740,NA,901,23.8,"San Pablo Rapid",2003
"Northern America","United States","Orlando",2,4475,54630,97,2,NA,15,NA,5364,249562,2,300,5.1,"LYNX Lymmo",1997
"Northern America","United States","Phoenix",NA,2372,54630,94,3.2,NA,6,NA,2604.2,1488750,NA,402,128.01,"LINK",2008
"Northern America","United States","Pittsburgh",29,41861,54630,90,6,47.2,30,5000,467.9,306211,NA,NA,31,"Pittsburgh BRT",1977
"Northern America","United States","San Bernardino",NA,NA,54630,90,6.6,NA,6,NA,59.5,2101053,1.75,1606.3,25.7,"sbX",2014
"Northern America","United States","San Diego",NA,NA,54630,90,4.4,38.4,NA,NA,196.2,1338348,2.25,777.8,14,"SuperLoop",2009
"Northern America","United States","Snohomish County",NA,4878,54630,86,9.3,NA,NA,NA,NA,713000,NA,NA,28.9,"Swift",2009
"Northern America","United States","Stockton",2,5322,54630,96,1,NA,13,NA,494,302389,1.5,874,26.22,"Metro Express",2007
