"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Europe","France","Châlon-sur-Saône",NA,2013,2014,"","","2014","2014","","2010","2010","2015",2014,"2014",NA,""
"Europe","France","Douai",NA,2010,2014,"","","2010","","","2010","2010","2015",2010,"2010","",""
"Europe","France","Evry",NA,NA,2014,"","","2014","","","2010","2010","2015",2014,"2014","2014",""
"Europe","France","La Rochelle",NA,2010,2014,"","","","","","2010","2010","2015",NA,"2010","",""
"Europe","France","Lille",NA,NA,2014,"2006","2006","","","","2010","2010","2015",NA,"2010","",""
"Europe","France","Lorient",NA,2011,2014,"2004","2004","2011","2011","","2010","2010","",NA,"2011","",""
"Europe","France","Lyon",NA,2009,2014,"2006","2006","2007","","","2010","2010","2015",NA,"2009","",""
"Europe","France","Maubeuge",NA,2009,2014,"2004","2004","","","","2010","2010","2015",NA,"2009","",""
"Europe","France","Metz",NA,2013,2014,"2006","2006","2013","2013","","2010","2010","2015",2013,"2013","",""
"Europe","France","Nancy",NA,2011,2014,"2013","2013","2010","2010","","2010","2010","",2010,"2009","",""
"Europe","France","Nantes",NA,2011,2014,"2012","2012","2011","2011","2011","2010","2010","2015",2013,"2011","",""
"Europe","France","Nice",NA,2009,2014,"2009","2009","","","","2010","2010","2015",NA,"","",""
"Europe","France","Nîmes",NA,2014,2014,"2004","2004","2015","2015","","2012","2012","2015",2015,"2015",NA,""
"Europe","France","Paris",NA,2011,2014,"2008","2008","2011","2011","2011","2010","2010","2015",2013,"2011","",""
"Europe","France","Rouen",NA,2015,2014,"2007","2007","2015","2011","","2010","2010","2015",2015,"2015","",""
"Europe","France","Saint-Nazaire",NA,2013,2014,"","","2014","2013","","2011","2011","2012",2013,"2013","",""
"Europe","France","Strasbourg",NA,2014,2014,"2009","2009","2014","","","2011","2011","2015",2014,"2014","",""
"Europe","France","Toulouse",NA,2010,2014,"2004","2004","2010","2010","","2010","2010","",2010,"2010","",""
"Europe","Germany","Essen",NA,2011,2014,"2001","2001","2011","2011","","2011","2011","2015",NA,"2011","",""
"Europe","Germany","Hamburg",NA,2011,2014,"2008","2008","2011","2011","","2011","2011","2015",2013,"2013","",""
"Europe","Germany","Oberhausen",NA,2011,2014,"2002","2002","2011","2011","","2015","2013","",2011,"2011","2011",""
"Europe","Ireland","Dublin",NA,2009,2014,"2011","2011","","","2009","2011","2011","",NA,"2009","",""
"Europe","Italy","Brescia",NA,2011,2014,"2001","2001","2011","2011","","2012","2012","",NA,"2011","",""
"Europe","Italy","Prato",NA,2011,2014,"2001","2001","2015","2011","","2012","2012","2015",2015,"2015","",""
"Europe","Netherlands","Almere",NA,2009,2014,"2008","2008","2011","2011","","2013","2013","",NA,"2009","",""
"Europe","Netherlands","Amsterdam",NA,2011,2014,"2008","2008","2011","2011","2011","2013","2013","2015",2013,"2011","",""
"Europe","Netherlands","Eindhoven",2007,2007,2014,"2008","2008","2007","","","2013","2013","",NA,"2009","",""
"Europe","Netherlands","Enschede",NA,2011,2014,"2008","2008","2011","2011","","","2013","2011",2011,"2011","",""
"Europe","Netherlands","Utrecht",NA,2010,2014,"2008","2008","","2010","","","2013","2015",2010,"2010","",""
"Europe","Portugal","Lisbon",NA,2011,2014,"2001","2001","2011","2011","2011","2011","2011","2015",NA,"2011","",""
"Europe","Spain","Barcelona",NA,2011,2014,"2007","2007","2011","2015","2011","2011","2011","2015",2015,"2011","2011",""
"Europe","Spain","Castellón",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","Spain","Granada",NA,2014,2014,"","","","2015","","2012","2014","2015",NA,"2014","2015",""
"Europe","Spain","Madrid",NA,2011,2014,"2012","2012","2011","2011","2011","2011","2013","2015",2011,"2011","2014",""
"Europe","Sweden","Gothenburg",NA,2011,2014,"2006","2006","2011","2011","","2013","2013","2015",2013,"2011","",""
"Europe","Sweden","Jonkoping",NA,2011,2014,"","","2011","","","2013","2013","",NA,"2011","",""
"Europe","Sweden","Stockholm",NA,2011,2014,"2006","2006","2011","2011","","2013","2013","2015",2011,"2011","",""
"Europe","Switzerland","Zurich",NA,2011,2014,"2005","2005","2011","2011","2011","2012","2012","2015",2013,"2011","",""
"Europe","Turkey","Istanbul",NA,2013,2014,"2011","2011","2013","2013","2013","2014","2014","2015",2015,"2013","2015",""
"Europe","United Kingdom","Bradford",NA,2011,2014,"2010","2010","","","","2012","2012","2015",2014,"2014","",""
"Europe","United Kingdom","Cambridge",NA,2015,2014,"2010","2010","2011, on guided section","2015","","2012","2013","2015",2015,"2015","",""
"Europe","United Kingdom","Crawley",NA,2005,2014,"","","2007","2007","","2012","2012","2015",2007,"2005","",""
"Europe","United Kingdom","Edinburgh",NA,2005,2014,"2008","2008","","2010","","2012","2012","",NA,"2005","",""
"Europe","United Kingdom","Fareham - Gosport",NA,NA,2014,"2012, South Hampshire modal split","2012, South Hampshire modal split","","2013","","2011","2011, population of both cities","",2013,"2013","",""
"Europe","United Kingdom","Kent",NA,2005,2014,"","","","","","2012","2012, population of Dartford and Gravesham","",NA,"2005","",""
"Europe","United Kingdom","Leeds",NA,2005,2014,"2010","2010","","","","2012","2012","",2005,"2005","",""
"Europe","United Kingdom","London",NA,2010,2014,"2011","2011","","","","2011","2012","",NA,"2010","",""
"Europe","United Kingdom","Luton",NA,2010,2014,"","","","","","2012","2012","",NA,"2010","",""
"Europe","United Kingdom","Manchester",NA,2011,2014,"2011","2011","2011","2011","","2011","2013","2015",NA,"2011","2014",""
"Europe","United Kingdom","Runcorn",NA,NA,2014,"2009","2009","2001","2013","","2012","2011","2015",NA,"2012","",""
"Europe","United Kingdom","Swansea",NA,2010,2014,"","","","","","2012","2012","",NA,"2010","",""
"Europe","United Kingdom","York",NA,2010,2014,"2011","2011","","","","2012","2012","2015",NA,"2010","",""
