"CITY","COUNTRY","CONTINENT","SYSTEM","OPENING","NETWORK_LENGTH","STATIONS","STATIONS1","LINES","AVG_STATION_DISTANCE","AVG_LINE_LENGTH","STATIONS_PER_LINE","DAILY_RIDERSHIP","RIDERSHIP_PER_KM","ANNUAL_RIDERSHIP","RIDERSHIP_YEAR","FARE","TRACKS","GAUGE","POWER_SUPPLY","VOLTAGE","DRIVERLESS","RUBBER_TYRED","DRIVERLESS_SINCE","PLATFORM_SCREEN_DOORS","AIRCON_TRAINS","WALK_THROUGH","REMARKS"
"Brussels","Belgium","Europe","M_tro","20 Sep 1976","32.2 km",61,59,3,"555 m",10.7,20.3,"364,000","11,300","133 million",2009,"1.53 EUR","right (left on lines 1 and 6 between Midi and Roi Baudouin)","1435","third rail","900","","",NA,"","","line 1","Premetro tunnels not included, 11 stations"
"Bucharest","Romania","Europe","Metro","16 Nov 1979","69.3 km",50,45,4,"1,505 m",17.3,12.5,"468,000","6,770","171 million",2011,"0.40 EUR","right","1435","third rail","825","","",NA,"","","",""
"Budapest","Hungary","Europe","Metro","2 May 1896","33.0 km",42,40,3,"846 m",11,14,"827,000","25,100","302 million",2011,"0.95 EUR","right","1435","third rail, overhead wire (Line M1)","825, 600 (Line M1)","","",NA,"","","",""
"Buenos Aires","Argentina","America","Subte","1 Dec 1913","53.9 km",85,73,6,"682 m",9,14.2,"844,000","15,700","308 million",2011,"0.24 EUR","left","1435","overhead wire, third rail (Line B)","1500, 1100 (Line B)","","",NA,"","","yes","Premetro line not included"
"Buffalo","USA","America","Metro Rail","18 May 1985","8.4 km",8,8,1,"1,194 m",8.4,8,"","","",NA,"","right","","","","","",NA,"","","","Only tunnel section"
"Bursa","Turkey","Asia","Bursaray","19 Aug 2002","31.5 km",31,31,2,"1,086 m",15.8,15.5,"","","",NA,"","","","","","","",NA,"","","",""
"Busan","South Korea","Asia","Subway","19 Jul 1985","133.4 km",128,120,5,"1,085 m",26.7,25.6,"877,000","6,570","320 million",2012,"","right","","","","Line 4","Line 4",2011,"line 3","","",""
"Cairo","Egypt","Africa","Metro","27 Sep 1987","77.9 km",64,61,3,"1,277 m",26,21.3,"2.29 million","29,400","837 million",2010,"0.14 EUR","left","1435","overhead wire","1500","","",NA,"","5 stations","",""
"Caracas","Venezuela","America","Metro","27 Mar 1983","66.5 km",54,54,6,"1,386 m",11.1,9,"1.33 million","20,000","485 million",2009,"0.31 EUR","","1435","third rail","750","","",NA,"","yes","","Metro Los Teques included (11.2km)"
"Catania","Italy","Europe","Metropolitana","27 Jun 1999","3.8 km",6,6,1,"760 m",3.8,6,"","","",NA,"","right","1435","overhead wire","3000","","",NA,"","","","metroitaliane.it"
"Changchun","China","Asia","LRT","Oct 2002","17.0 km",16,16,1,"1,133 m",17,16,"","","",NA,"","right","","","","","",NA,"","","","(17 km, 16 stations on viaduct = metro). 14.6 km, 17 st on streets"
