"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"Year system commenced","system info","Europe","Belgium","Liège","1968",NA,"siteresources.worldbank.org",NA,0
"Year system commenced","system info","Europe","Finland","Helsinki","2003",NA,"COST - European Cooperation in Science and Technology, 2006  change the brand",NA,0
"Year system commenced","system info","Europe","France","Belfort","2013",NA,"info.optymo.fr",NA,0
"Year system commenced","system info","Europe","France","Caen","2002",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Cannes","2013",NA,"www.silteplait.info",NA,0
"Year system commenced","system info","Europe","France","Châlon-sur-Saône","2012",NA,"www.ville-rail-transports.com",NA,0
"Year system commenced","system info","Europe","France","Douai","2006",NA,"Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl",NA,0
"Year system commenced","system info","Europe","France","Evry","1975",NA,"snotice.fr",NA,0
"Year system commenced","system info","Europe","France","La Rochelle","2009",NA,"www.ville-larochelle.fr",NA,0
"Year system commenced","system info","Europe","France","Le Mans","2016",NA,"www.francebleu.fr",NA,0
"Year system commenced","system info","Europe","France","Lille","2008",NA,"www.nbrti.org  bhns.fr",NA,0
"Year system commenced","system info","Europe","France","Lorient","2007",NA,"COST - European Cooperation in Science and Technology .",NA,0
"Year system commenced","system info","Europe","France","Lyon","2006",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Maubeuge","2008",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Metz","2013",NA,"mettis.metzmetropole.fr",NA,0
"Year system commenced","system info","Europe","France","Nancy","2001",NA,"www.nbrti.org",NA,0
"Year system commenced","system info","Europe","France","Nantes","2006",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","France","Nîmes","2012",NA,"trambus.nimes-metropole.fr",NA,0
"Year system commenced","system info","Europe","France","Paris","1993",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","France","Rouen","2001",NA,"www.la-crea.fr",NA,0
"Year system commenced","system info","Europe","France","Saint-Nazaire","2012",NA,"www.aup-urba.fr",NA,0
"Year system commenced","system info","Europe","France","Strasbourg","2013",NA,"www.lemoniteur.fr",NA,0
"Year system commenced","system info","Europe","France","Toulouse","2008",NA,"Viva 2010 ( www.uncrd.or.jp ); CERTU 2010",NA,0
"Year system commenced","system info","Europe","Germany","Essen","1980",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Germany","Oberhausen","1996",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Netherlands","Almere","2004",NA,"",NA,0
"Year system commenced","system info","Europe","Netherlands","Amsterdam","2002",NA,"COST - European Cooperation in Science and Technology",NA,0
"Year system commenced","system info","Europe","Netherlands","Eindhoven","2003",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Europe","Netherlands","Enschede","2000",NA,"www.uitp.org",NA,0
