"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"Trunk lines","system info","Oceania","Australia","Adelaide","0",2013,"Adelaide, Australia: O-Bahn guided busway",9,0
"Trunk lines","system info","Oceania","Australia","Brisbane",NA,NA,"",NA,1
"Trunk lines","system info","Oceania","Australia","Sydney - Metropolitan Area","12",2013,"Currie G; Delbosc, A. (2013) Assessing bus rapid transit system performance in Australasia",9,0
"Trunk lines","system info","Oceania","New Caledonia","Nouméa",NA,NA,"",NA,1
"Trunk lines","system info","Oceania","New Zealand","Auckland",NA,NA,"",NA,1
"Trunk lines","system info","Europe","Belgium","Liège","30",2011,"www.infotec.be",11,0
"Trunk lines","system info","Europe","Finland","Helsinki","1",2014,"fi.wikipedia.org",8,0
"Trunk lines","system info","Europe","France","Belfort","5",2014,"info.optymo.fr",8,0
"Trunk lines","system info","Europe","France","Caen","2",NA,"",NA,0
"Trunk lines","system info","Europe","France","Cannes","2",2014,"www.silteplait.info",8,0
"Trunk lines","system info","Europe","France","Châlon-sur-Saône","1",2014,"www.ville-rail-transports.com",8,0
"Trunk lines","system info","Europe","France","Douai",NA,NA,"",NA,1
"Trunk lines","system info","Europe","France","Evry",NA,NA,"",NA,1
"Trunk lines","system info","Europe","France","La Rochelle",NA,NA,"",NA,1
"Trunk lines","system info","Europe","France","Le Mans","1",2016,"www.setram.fr",6,0
"Trunk lines","system info","Europe","France","Lille",NA,NA,"",NA,1
"Trunk lines","system info","Europe","France","Lorient","12",2011,"COST - European Cooperation in Science and Technology .",11,0
"Trunk lines","system info","Europe","France","Lyon","2",2017,"www.tcl.fr",5,0
"Trunk lines","system info","Europe","France","Maubeuge",NA,NA,"",NA,1
"Trunk lines","system info","Europe","France","Metz","2",2013,"mettis.metzmetropole.fr",9,0
"Trunk lines","system info","Europe","France","Nancy",NA,NA,"",NA,1
"Trunk lines","system info","Europe","France","Nantes","1",2011,"COST - European Cooperation in Science and Technology",11,0
"Trunk lines","system info","Europe","France","Nîmes","1",2015,"trambus.nimes-metropole.fr",7,0
"Trunk lines","system info","Europe","France","Paris","3",2011,"",11,0
"Trunk lines","system info","Europe","France","Rouen","3",2015,"www.reseau-astuce.fr",7,0
"Trunk lines","system info","Europe","France","Saint-Nazaire","2",2014,"www.stran.fr",8,0
"Trunk lines","system info","Europe","France","Strasbourg","1",2014,"fr.wikipedia.org",8,0
"Trunk lines","system info","Europe","France","Toulouse","2",NA,"",NA,0
"Trunk lines","system info","Europe","Germany","Essen","2",2011,"COST - European Cooperation in Science and Technology",11,0
"Trunk lines","system info","Europe","Germany","Oberhausen",NA,NA,"",NA,1
"Trunk lines","system info","Europe","Netherlands","Almere","10",2011,"COST - European Cooperation in Science and Technology",11,0
"Trunk lines","system info","Europe","Netherlands","Amsterdam","2",2011,"COST - European Cooperation in Science and Technology",11,0
"Trunk lines","system info","Europe","Netherlands","Eindhoven",NA,NA,"",NA,1
"Trunk lines","system info","Europe","Netherlands","Enschede",NA,NA,"",NA,1
"Trunk lines","system info","Europe","Netherlands","Utrecht","2",2010,"Viva 2010 ( www.uncrd.or.jp ); www.ashford.gov.uk ; www.chinabrt.org",12,0
"Trunk lines","system info","Europe","Spain","Castellón","3",2017,"tramcastellon.com",5,0
"Trunk lines","system info","Europe","Spain","Granada","1",2016,"www.granadadirect.com",6,0
"Trunk lines","system info","Europe","Sweden","Gothenburg","4",2011,"COST - European Cooperation in Science and Technology",11,0
"Trunk lines","system info","Europe","Sweden","Jonkoping",NA,NA,"",NA,1
"Trunk lines","system info","Europe","Sweden","Stockholm",NA,NA,"",NA,1
"Trunk lines","system info","Europe","Switzerland","Zurich","1",2011,"COST - European Cooperation in Science and Technology",11,0
"Trunk lines","system info","Europe","Turkey","Istanbul","7",2015,"www.iett.gov.tr",7,0
"Trunk lines","system info","Europe","United Kingdom","Cambridge","3",2015,"www.thebusway.info",7,0
"Trunk lines","system info","Europe","United Kingdom","Fareham - Gosport","2",2013,"www3.hants.gov.uk",9,0
"Trunk lines","system info","Europe","United Kingdom","Greater Manchester",NA,NA,"",NA,1
"Trunk lines","system info","Europe","United Kingdom","Kent","1",NA,"",NA,0
"Trunk lines","system info","Europe","United Kingdom","Luton",NA,NA,"",NA,1
"Trunk lines","system info","Europe","United Kingdom","Runcorn",NA,NA,"",NA,1
"Trunk lines","system info","Europe","United Kingdom","Swansea",NA,NA,"",NA,1
"Trunk lines","system info","Northern America","Canada","Calgary","4",2020,"www.calgarytransit.com",2,0
"Trunk lines","system info","Northern America","Canada","Gatineau","7",2013,"www.sto.ca",9,0
"Trunk lines","system info","Northern America","Canada","Mississauga",NA,NA,"",NA,1
"Trunk lines","system info","Northern America","Canada","Ottawa","10",2017,"www.octranspo.com",5,0
"Trunk lines","system info","Northern America","Canada","Winnipeg",NA,NA,"",NA,1
"Trunk lines","system info","Northern America","Canada","Quebec",NA,NA,"",NA,1
"Trunk lines","system info","Northern America","Canada","York Regional Municipality",NA,NA,"",NA,1
"Trunk lines","system info","Northern America","United States","Albuquerque","2",2019,"www.cabq.gov",3,0
"Trunk lines","system info","Northern America","United States","Alexandria - Arlington","1",2016,"metrowayva.com",6,0
"Trunk lines","system info","Northern America","United States","Cleveland","1",2013,"RTA",9,0
"Trunk lines","system info","Northern America","United States","Eugene","1",2013,"www.ltd.org",9,0
"Trunk lines","system info","Northern America","United States","Fort Collins","1",2016,"www.ridetransfort.com",6,0
"Trunk lines","system info","Northern America","United States","Hartford County","1",2016,"ctfastrak.com",6,0
"Trunk lines","system info","Northern America","United States","Las Vegas","3",2012,"www.rtcsnv.com",10,0
"Trunk lines","system info","Northern America","United States","Los Angeles","2",2019,"www.metro.net",3,0
"Trunk lines","system info","Northern America","United States","Miami","3",NA,"",NA,0
"Trunk lines","system info","Northern America","United States","New York","0",2015,"web.mta.info",7,0
"Trunk lines","system info","Northern America","United States","Orlando","1",NA,"",NA,0
"Trunk lines","system info","Northern America","United States","Pittsburgh","53",2007,"Bus Rapid Transit Planning Guide (ITDP) 2007",15,0
"Trunk lines","system info","Northern America","United States","Richmond",NA,NA,"",NA,1
"Trunk lines","system info","Northern America","United States","San Bernardino","1",2014,"www.omnitrans.org",8,0
"Trunk lines","system info","Asia","China","Beijing","4",2013,"",9,0
"Trunk lines","system info","Asia","China","Changde",NA,NA,"",NA,1
"Trunk lines","system info","Asia","China","Changzhou","3",2013,"",9,0
"Trunk lines","system info","Asia","China","Chengdu","4",2013,"www.worldbrt.net",9,0
"Trunk lines","system info","Asia","China","Chongqing","1",NA,"",NA,0
"Trunk lines","system info","Asia","China","Dalian","1",NA,"",NA,0
"Trunk lines","system info","Asia","China","Guangzhou","31",2016,"CUSTReC",6,0
"Trunk lines","system info","Asia","China","Hangzhou",NA,NA,"",NA,1
"Trunk lines","system info","Asia","China","Hefei","0",2013,"www.chinabrt.org",9,0
"Trunk lines","system info","Asia","China","Jinan","8",2016,"CUSTReC",6,0
"Trunk lines","system info","Asia","China","Kunming",NA,NA,"",NA,1
"Trunk lines","system info","Asia","China","Lanzhou","1",2013,"www.chinabrt.org",9,0
"Trunk lines","system info","Asia","China","Lianyungang","1",2013,"www.chinabrt.org",9,0
"Trunk lines","system info","Asia","China","Urumqi","7",2016,"CUSTReC",6,0
"Trunk lines","system info","Asia","China","Xiamen","3",2013,"www.chinabrt.org",9,0
"Trunk lines","system info","Asia","China","Yancheng","0",2013,"www.chinabrt.org",9,0
"Trunk lines","system info","Asia","China","Yichang","2",2015,"www.chinabrt.org",7,0
"Trunk lines","system info","Asia","China","Yinchuan","1",2013,"www.chinabrt.org",9,0
"Trunk lines","system info","Asia","China","Zaozhuang","1",2013,"www.chinabrt.org",9,0
"Trunk lines","system info","Asia","China","Zhengzhou","20",2016,"CUSTReC",6,0
"Trunk lines","system info","Asia","India","Ahmedabad","12",2014,"www.ahmedabadbrts.com",8,0
"Trunk lines","system info","Asia","India","Amritsar","3",2019,"www.facebook.com",3,0
"Trunk lines","system info","Asia","India","Bhopal",NA,NA,"",NA,1
"Trunk lines","system info","Asia","India","Hubballi-Dharwad",NA,NA,"",NA,1
"Trunk lines","system info","Asia","India","Indore",NA,NA,"",NA,1
"Trunk lines","system info","Asia","India","Jaipur","0",2019,"Primary Survey, EMBARQ",3,0
"Trunk lines","system info","Asia","India","Pune - Primpi-Chinchwad","17",2015,"webcache.googleusercontent.com",7,0
"Trunk lines","system info","Asia","India","Rajkot",NA,NA,"",NA,1
"Trunk lines","system info","Asia","India","Surat",NA,NA,"",NA,1
"Trunk lines","system info","Asia","Indonesia","Jakarta","22",2013,"Transjakarta",9,0
"Trunk lines","system info","Asia","Iran","Isfahan","1",2015,"en.wikipedia.org",7,0
"Trunk lines","system info","Asia","Iran","Tabriz",NA,NA,"",NA,1
"Trunk lines","system info","Asia","Iran","Tehran",NA,NA,"",NA,1
"Trunk lines","system info","Asia","Israel","Haifa","3",2013,"www.dannorth.co.il",9,0
"Trunk lines","system info","Asia","Japan","Kesennuma - Tome",NA,NA,"",NA,1
"Trunk lines","system info","Asia","Japan","Nagoya","1",2018,"www.guideway.co.jp",4,0
"Trunk lines","system info","Asia","Malaysia","Subang Jaya","1",2015,"www.chatpropertymalaysia.com",7,0
"Trunk lines","system info","Asia","Pakistan","Islamabad - Rawalpindi","1",2015,"www.pakistantimes.com",7,0
"Trunk lines","system info","Asia","Pakistan","Lahore",NA,NA,"",NA,1
"Trunk lines","system info","Asia","Republic of Korea","Seoul","122",2014,"citynet-ap.org",8,0
"Trunk lines","system info","Asia","Taiwan","Chiayi","3",2014,"e-bus.chiayi.gov.tw",8,0
"Trunk lines","system info","Asia","Taiwan","Taichung","1",2014,"easts.info",8,0
"Trunk lines","system info","Asia","Taiwan","Taipei",NA,NA,"",NA,1
"Trunk lines","system info","Asia","Thailand","Bangkok","1",NA,"",NA,0
"Trunk lines","system info","Asia","Vietnam","Hanoi","1",2017,"www.lecourrier.vn",5,0
"Trunk lines","system info","Africa","Nigeria","Lagos",NA,NA,"",NA,1
"Trunk lines","system info","Africa","South Africa","Cape Town","4",2017,"myciti.org.za",5,0
"Trunk lines","system info","Africa","South Africa","Johannesburg","3",2013,"Rea Vaya",9,0
"Trunk lines","system info","Africa","South Africa","Pretoria","2",2018,"A Re Yeng",4,0
"Trunk lines","system info","Africa","Tanzania","Dar es Salaam","7",2015,"www.unep.org",7,0
"Transit agency","system info","Latin America","Argentina","Buenos Aires","Metrobus",2016,"movilidad.buenosaires.gob.ar",6,0
"Transit agency","system info","Latin America","Argentina","Buenos Aires - Metropolitan Area","Metrobus",2017,"movilidad.buenosaires.gob.ar",5,0
"Transit agency","system info","Latin America","Argentina","Córdoba","Secretaría de Transporte y Tránsito",2015,"www2.cordoba.gov.ar",7,0
"Transit agency","system info","Latin America","Argentina","Neuquén","Metrobús Neuquén",2019,"www.argentina.gob.ar",3,0
"Transit agency","system info","Latin America","Argentina","Santa Fe","Metrobús Santa Fe",2020,"es.wikipedia.org",2,0
"Transit agency","system info","Latin America","Brazil","Belém",NA,NA,"",NA,1
"Transit agency","system info","Latin America","Brazil","Belo Horizonte","BHTrans",NA,"www.bhtrans.pbh.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Brasília","DFTrans",NA,"www.dftrans.df.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Campinas","EMDEC",NA,"www.emdec.com.br",NA,0
"Transit agency","system info","Latin America","Brazil","Criciúma","Secretaria de Planejamento e Desenvolvimento Econômico do Município de Criciúma",NA,"camara.virtualiza.net",NA,0
"Transit agency","system info","Latin America","Brazil","Curitiba","URBS",NA,"",NA,0
"Transit agency","system info","Latin America","Brazil","Fortaleza","ETUFOR",NA,"www.etufor.ce.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Goiânia","RMTC",NA,"",NA,0
"Transit agency","system info","Latin America","Brazil","Guarulhos","EMTU",2013,"www.emtu.sp.gov.br",9,0
"Transit agency","system info","Latin America","Brazil","Juiz de Fora","SETTRA",NA,"www.pjf.mg.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Londrina","CMTU Londrina",NA,"www.cmtuld.com.br",NA,0
"Transit agency","system info","Latin America","Brazil","Natal","SEMOB",NA,"www.natal.rn.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Niterói","Nittrans",NA,"www.nittrans.niteroi.rj.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Porto Alegre","EPTC",NA,"",NA,0
"Transit agency","system info","Latin America","Brazil","Recife","GRANDE RECIFE",NA,"www.granderecife.pe.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Rio de Janeiro","SMTR",2011,"www.rio.rj.gov.br",11,0
"Transit agency","system info","Latin America","Brazil","São Paulo","SPTrans",NA,"www.sptrans.com.br",NA,0
"Transit agency","system info","Latin America","Brazil","São Paulo - Metropolitan area","EMTU",NA,"www.emtu.sp.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Sumaré","EMTU",NA,"www.emtu.sp.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Teresina","STRANS",NA,"strans.teresina.pi.gov.br",NA,0
"Transit agency","system info","Latin America","Brazil","Uberaba","SEPLAN",2015,"www.uberaba.mg.gov.br",7,0
"Transit agency","system info","Latin America","Brazil","Uberlândia","SETTRAN",2013,"www.uberlandia.mg.gov.br",9,0
"Transit agency","system info","Latin America","Brazil","Sorocaba","URBES",2021,"www.urbes.com.br",1,0
"Transit agency","system info","Latin America","Brazil","Maringá","SEMOB",2021,"www2.maringa.pr.gov.br",1,0
"Transit agency","system info","Latin America","Chile","Concepción","SEREMITT",2016,"www.mtt.gob.cl",6,0
"Transit agency","system info","Latin America","Chile","Santiago","DTPM",2013,"www.dtpm.gob.cl",9,0
"Transit agency","system info","Latin America","Colombia","Barranquilla","Transmetro S.A.",NA,"www.transmetro.gov.co",NA,0
"Transit agency","system info","Latin America","Colombia","Bogotá","Transmilenio S.A.",2014,"www.transmilenio.gov.co",8,0
"Transit agency","system info","Latin America","Colombia","Bucaramanga","Metrolínea S.A.",2013,"www.metrolinea.gov.co",9,0
"Transit agency","system info","Latin America","Colombia","Cali","Metro Cali S.A.",NA,"www.metrocali.gov.co",NA,0
"Transit agency","system info","Latin America","Colombia","Cartagena","Transcaribe S.A",2016,"www.transcaribe.gov.co",6,0
"Transit agency","system info","Latin America","Colombia","Medellín","Empresa de Transporte Masivo del Valle de Aburrá Ltda. (Metro)",NA,"www.metroplus.gov.co",NA,0
"Transit agency","system info","Latin America","Colombia","Pereira","Megabús S.A.",NA,"www.megabus.gov.co",NA,0
"Transit agency","system info","Latin America","Ecuador","Guayaquil","Metrovía",NA,"web site www.metrovia-gye.com",NA,0
"Transit agency","system info","Latin America","Ecuador","Quito","Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ)",2010,"www.trolebus.gob.ec",12,0
"Transit agency","system info","Latin America","El Salvador","Gran San Salvador","SITRAMSS",2013,"www.vmt.gob.sv",9,0
"Transit agency","system info","Latin America","Guatemala","Guatemala","Transmetro Guatemala",NA,"",NA,0
"Transit agency","system info","Latin America","Mexico","Acapulco",NA,NA,"",NA,1
"Transit agency","system info","Latin America","Mexico","Chihuahua","Coordinadora de Transporte Colectivo de la Ciudad de Chihuahua (CTC)",2013,"www.larednoticias.com",9,0
"Transit agency","system info","Latin America","Mexico","Guadalajara","Sistema de Tren Electrico Urbano (SITEUR)",NA,"www.siteur.gob.mx",NA,0
"Transit agency","system info","Latin America","Mexico","Guadalupe","Metrorrey",NA,"www.nl.gob.mx",NA,0
"Transit agency","system info","Latin America","Mexico","Juárez","Integradora de Transporte de Juárez",NA,"es.wikipedia.org",NA,0
"Transit agency","system info","Latin America","Mexico","León de los Aldama","Dirección General de Movilidad",NA,"oruga-sit.leon.gob.mx",NA,0
"Transit agency","system info","Latin America","Mexico","Mexico City","METROBÚS",2016,"www.metrobus.cdmx.gob.mx",6,0
"Transit agency","system info","Latin America","Mexico","Mexico City - Metropolitan Area",NA,NA,"",NA,1
"Transit agency","system info","Latin America","Mexico","Monterrey","SITME",2014,"www.milenio.com",8,0
"Transit agency","system info","Latin America","Mexico","Pachuca","SITMAH",2015,"www.servicio-tuzobus.mx",7,0
"Transit agency","system info","Latin America","Mexico","Puebla","RUTA",2015,"rutapuebla.mx",7,0
"Transit agency","system info","Latin America","Mexico","Tijuana",NA,NA,"",NA,1
"Transit agency","system info","Latin America","Panama","Panama","Mi Bus",NA,"www.proyectospanama.com",NA,0
"Transit agency","system info","Latin America","Peru","Lima","Instituto Metropolitano PROTRANSPORTE de Lima ",NA,"www.protransporte.gob.pe",NA,0
"Transit agency","system info","Latin America","Trinidad and Tobago","Port of Spain - Arima","PTSC",2014,"www.ptsc.co.tt",8,0
"Transit agency","system info","Latin America","Uruguay","Montevideo","Departamento de Movilidad",2013,"www.montevideo.gub.uy",9,0
"Transit agency","system info","Latin America","Venezuela","Barquisimeto","Ministerio del Poder Popular para Transporte Terrestre y Obras Publicas (MPPTTOP)",2015,"www.facebook.com",7,0
"Transit agency","system info","Latin America","Venezuela","Caracas","Metro Caracas",2013,"www.metrodecaracas.gob.ve",9,0
"Transit agency","system info","Latin America","Venezuela","Merida","Trolebus Mérida C.A (TROMERCA)",2009,"www.tromerca.gob.ve www.tramz.com",13,0
"Transit agency","system info","Oceania","Australia","Adelaide","Adelaide Metro",2014,"www.adelaidemetro.com.au",8,0
"Transit agency","system info","Oceania","Australia","Brisbane","Translink",2014,"translink.com.au",8,0
"Transit agency","system info","Oceania","Australia","Sydney - Metropolitan Area","Transport for NSW",NA,"www.transportnsw.info",NA,0
"Transit agency","system info","Oceania","New Caledonia","Nouméa","SMTU",2019,"www.smtu.nc",3,0
"Transit agency","system info","Oceania","New Zealand","Auckland","Auckland Transport",2014,"www.aucklandtransport.govt.nz",8,0
"Transit agency","system info","Europe","Belgium","Liège","TEC",2014,"www.liege.be",8,0
"Transit agency","system info","Europe","Finland","Helsinki","Helsinki Region Transport (HRT)",2014,"www.hsl.fi",8,0
"Transit agency","system info","Europe","France","Belfort","Optymo",2014,"info.optymo.fr",8,0
"Transit agency","system info","Europe","France","Caen",NA,NA,"",NA,1
"Transit agency","system info","Europe","France","Cannes","SITP",2014,"www.silteplait.info",8,0
"Transit agency","system info","Europe","France","Châlon-sur-Saône","Zoom",2014,"www.buszoom.com",8,0
"Transit agency","system info","Europe","France","Douai",NA,NA,"",NA,1
"Transit agency","system info","Europe","France","Evry","Tice",2014,"www.bus-tice.com",8,0
"Transit agency","system info","Europe","France","La Rochelle",NA,NA,"",NA,1
"Transit agency","system info","Europe","France","Le Mans","Setram",2016,"www.setram.fr",6,0
"Transit agency","system info","Europe","France","Lille","Transpole",2017,"www.transpole.fr",5,0
"Transit agency","system info","Europe","France","Lorient",NA,NA,"",NA,1
"Transit agency","system info","Europe","France","Lyon","TCL",NA,"www.tcl.fr",NA,0
"Transit agency","system info","Europe","France","Maubeuge",NA,NA,"",NA,1
"Transit agency","system info","Europe","France","Metz","Metz Mètropole",2013,"www.metzmetropole.fr",9,0
"Transit agency","system info","Europe","France","Nancy",NA,NA,"",NA,1
"Transit agency","system info","Europe","France","Nantes","TAN",2013,"www.tan.fr",9,0
"Transit agency","system info","Europe","France","Nîmes","Nîmes Métropole",2015,"trambus.nimes-metropole.fr",7,0
"Transit agency","system info","Europe","France","Paris","RATP",2013,"www.ratp.fr",9,0
"Transit agency","system info","Europe","France","Rouen","TCAR",2013,"www.crea-astuce.fr",9,0
"Transit agency","system info","Europe","France","Saint-Nazaire","STRAN",2014,"www.stran.fr",8,0
"Transit agency","system info","Europe","France","Strasbourg","CUS",2014,"fr.wikipedia.org",8,0
"Transit agency","system info","Europe","France","Toulouse",NA,NA,"",NA,1
"Transit agency","system info","Europe","Germany","Essen","EVAG",2013,"www.evag.de",9,0
"Transit agency","system info","Europe","Germany","Oberhausen","STOAG",2015,"www.stoag.de",7,0
"Transit agency","system info","Europe","Netherlands","Almere",NA,NA,"",NA,1
"Transit agency","system info","Europe","Netherlands","Amsterdam","GVB",2013,"www.gvb.nl",9,0
"Transit agency","system info","Europe","Netherlands","Eindhoven",NA,NA,"",NA,1
"Transit agency","system info","Europe","Netherlands","Enschede",NA,NA,"",NA,1
"Transit agency","system info","Europe","Netherlands","Utrecht",NA,NA,"",NA,1
"Transit agency","system info","Europe","Spain","Castellón",NA,NA,"",NA,1
"Transit agency","system info","Europe","Spain","Granada",NA,NA,"",NA,1
"Transit agency","system info","Europe","Sweden","Gothenburg","Västtrafik",2013,"www.vasttrafik.se",9,0
"Transit agency","system info","Europe","Sweden","Jonkoping",NA,NA,"",NA,1
"Transit agency","system info","Europe","Sweden","Stockholm",NA,NA,"",NA,1
"Transit agency","system info","Europe","Switzerland","Zurich","ZVV",2013,"www.zvv.ch",9,0
"Transit agency","system info","Europe","Turkey","Istanbul","IETT",2015,"www.iett.gov.tr",7,0
"Transit agency","system info","Europe","United Kingdom","Cambridge","Cambridgeshire County Council",2015,"www.cambridgeshire.gov.uk",7,0
"Transit agency","system info","Europe","United Kingdom","Fareham - Gosport","Hampshire County Counci",2013,"www.hants.gov.uk",9,0
"Transit agency","system info","Europe","United Kingdom","Greater Manchester","Transport for Great Manchester",2014,"www.tfgm.com",8,0
"Transit agency","system info","Europe","United Kingdom","Kent",NA,NA,"",NA,1
"Transit agency","system info","Europe","United Kingdom","Luton",NA,NA,"",NA,1
"Transit agency","system info","Europe","United Kingdom","Runcorn",NA,NA,"",NA,1
"Transit agency","system info","Europe","United Kingdom","Swansea",NA,NA,"",NA,1
"Transit agency","system info","Northern America","Canada","Calgary","Clagary Transit",NA,"www.calgarytransit.com",NA,0
"Transit agency","system info","Northern America","Canada","Gatineau","STO",2014,"www.sto.ca",8,0
"Transit agency","system info","Northern America","Canada","Mississauga","Mississauga Transit",NA,"www7.mississauga.ca",NA,0
"Transit agency","system info","Northern America","Canada","Ottawa","OC Tranpo",2015,"www.octranspo1.com",7,0
"Transit agency","system info","Northern America","Canada","Winnipeg",NA,NA,"",NA,1
"Transit agency","system info","Northern America","Canada","Quebec","Le Réseau de Transport de la Capitale (RTC)",NA,"www.rtcquebec.ca",NA,0
"Transit agency","system info","Northern America","Canada","York Regional Municipality","York Region Transit",2016,"www.yorkregiontransit.com",6,0
"Transit agency","system info","Northern America","United States","Albuquerque","ABQ RIDE",2021,"www.cabq.gov",1,0
"Transit agency","system info","Northern America","United States","Alexandria - Arlington","WMATA (Washington Metropolitan Area Transit Authority)",2016,"www.wmata.com",6,0
"Transit agency","system info","Northern America","United States","Cleveland","RTA",2013,"www.riderta.com",9,0
"Transit agency","system info","Northern America","United States","Eugene","LTD",2013,"www.ltd.org",9,0
"Transit agency","system info","Northern America","United States","Fort Collins","TransFort",2016,"www.ridetransfort.com",6,0
"Transit agency","system info","Northern America","United States","Hartford County","CTDOT",2016,"ctfastrak.com",6,0
"Transit agency","system info","Northern America","United States","Las Vegas","RTC",2015,"www.rtcsnv.com",7,0
"Transit agency","system info","Northern America","United States","Los Angeles","Los Angeles County Metropolitan Transportation Authority",NA,"www.metro.net",NA,0
"Transit agency","system info","Northern America","United States","Miami","Miami-Dade Transit (MDT)",2012,"www.miamidade.gov",10,0
"Transit agency","system info","Northern America","United States","New York","Metropolitan Transportation Authority",2015,"www.mta.info",7,0
"Transit agency","system info","Northern America","United States","Orlando",NA,NA,"",NA,1
"Transit agency","system info","Northern America","United States","Pittsburgh",NA,NA,"",NA,1
"Transit agency","system info","Northern America","United States","Richmond","GRTC ",2018,"ridegrtc.com",4,0
"Transit agency","system info","Northern America","United States","San Bernardino","Omnitrans",2014,"www.omnitrans.org",8,0
"Transit agency","system info","Asia","China","Beijing","Beijing Public Transport Holdings",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Changde","Changde Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Changzhou","Changzhou Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Chengdu","Chengdu Public Transportation Group",2013,"www.chinabuses.org",9,0
"Transit agency","system info","Asia","China","Chongqing",NA,NA,"",NA,1
"Transit agency","system info","Asia","China","Dalian","Dalian Jietong BRT Passenger Transport",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Guangzhou","Bus Rapid Transit Operation and Management Company",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Hangzhou","Hangzhou Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Hefei","Feifei Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Jinan","Jinan Public Transport Research Center",2015,"www.chinabrt.org",7,0
"Transit agency","system info","Asia","China","Kunming",NA,NA,"",NA,1
"Transit agency","system info","Asia","China","Lanzhou","Lanzhou Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Lianyungang","Lianyungang Haitong Public Transport Company",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Urumqi","Urumqi Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Xiamen","Xiamen BRT Operation Company",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Yancheng","Yancheng Public Transport Company",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Yichang","Yichang BRT Management Company",2015,"www.chinabrt.org",7,0
"Transit agency","system info","Asia","China","Yinchuan","Yinchuan Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Zaozhuang","Zaozhuang Urban Public Transport Company",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","China","Zhengzhou","Zhengzhou Public Transport Group",2013,"www.chinabrt.org",9,0
"Transit agency","system info","Asia","India","Ahmedabad","AHMEDABAD JANMARG LTD.",2012,"www.ahmedabadbrts.com",10,0
"Transit agency","system info","Asia","India","Amritsar","Punjab Infrastructure Development Board",NA,"india.uitp.org",NA,0
"Transit agency","system info","Asia","India","Bhopal",NA,NA,"",NA,1
"Transit agency","system info","Asia","India","Hubballi-Dharwad",NA,NA,"",NA,1
"Transit agency","system info","Asia","India","Indore",NA,NA,"",NA,1
"Transit agency","system info","Asia","India","Jaipur","Jaipur City Transport Services Limited (JCTSL)",2011,"Interview with JCTSL officials",11,0
"Transit agency","system info","Asia","India","Pune - Primpi-Chinchwad","PMPML",2016,"rainbowbrtpune.wordpress.com",6,0
"Transit agency","system info","Asia","India","Rajkot",NA,NA,"",NA,1
"Transit agency","system info","Asia","India","Surat","SMC",2014,"www.globalmasstransit.net",8,0
"Transit agency","system info","Asia","Indonesia","Jakarta","TransJakarta",2013,"www.transjakarta.co.id",9,0
"Transit agency","system info","Asia","Iran","Isfahan","Isfahan and Suburbs Bus Company",2016,"en.wikipedia.org",6,0
"Transit agency","system info","Asia","Iran","Tabriz",NA,NA,"",NA,1
"Transit agency","system info","Asia","Iran","Tehran","Tehran Transportation and Traffic Agency",2014,"trafficorg.tehran.ir",8,0
"Transit agency","system info","Asia","Israel","Haifa","Yefe Nof",2013,"www.yefenof.co.il",9,0
"Transit agency","system info","Asia","Japan","Kesennuma - Tome",NA,NA,"",NA,1
"Transit agency","system info","Asia","Japan","Nagoya",NA,NA,"",NA,1
"Transit agency","system info","Asia","Malaysia","Subang Jaya","Rapid KL",2015,"www.myrapid.com.my",7,0
"Transit agency","system info","Asia","Pakistan","Islamabad - Rawalpindi","Punjab Metrobus Authority",NA,"rawalpindi.gov.pk",NA,0
"Transit agency","system info","Asia","Pakistan","Lahore","Punjab Metrobus Authority",2013,"www.pma.punjab.gov.pk",9,0
"Transit agency","system info","Asia","Republic of Korea","Seoul","Seoul Metropolitan Government",2014,"citynet-ap.org",8,0
