"category","obs","nas","no_nas","availability","timeliness","homogeneity"
"additional information",2534,531,2003,79,8.3,6
"general info",1267,183,1084,85.6,10,5.4
"system cost",1086,913,173,15.9,11.3,2.6
"system fleet",4163,2776,1387,33.3,8.8,8.3
"system image",543,214,329,60.6,8,2.6
"system info",3439,1256,2183,63.5,7.8,4.4
"system road safety",362,310,52,14.4,7.4,2.8
