"city","corridor","system","country","country_ITDP","city_ITDP","year","corridor_length","a","a1","a2","a3","a4","a5","b","b1","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","score","g","g1","g2","g3","g4","g5","g6","g7","g8","total_score","classification","gdp","continent","pop_density","corridors_city_length","population","bus_split","pop_density_2017","peak_load_2017","speed_ITDP_2017","speed_BRTData_2017","demand_BRTData_2017","corridor_length_BRTData_2017","metro_length","net_score","id","x_a","x_b","x_c","x_d","x_e","x_f","x_g","productivity","demand","system_length","speed","year_system_commenced","peak_frequency","peak_load_pax"
"Bogota","Caracas","TransMilenio","Colombia","Colombia","Bogota",2013,7.3,97,100,100,100,83.3,100,100,100,100,100,100,100,100,100,64.3,100,0,100,100,0,100,100,100,100,100,100,100,100,100,42.9,100,0,100,0,0,0,86,-8.3,0,0,0,0,-100,100,100,0,83,"Silver",7904,"Latin America",3347.4,112.9,7760500,59,"","",">20","","",NA,0,83,55,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","El Dorado","TransMilenio","Colombia","Colombia","Bogota",2013,10.8,100,100,100,100,100,100,87.5,50,66.7,100,100,100,100,100,78.6,100,0,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,50,100,0,89,-8.3,0,0,0,0,-100,100,100,0,86,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,"","",">20","","",NA,0,86,56,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","NQS","TransMilenio","Colombia","Colombia","Bogota",2013,8.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,78.6,100,0,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,50,100,0,92,-8.3,0,0,0,0,-100,100,100,0,89,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,"","",">20","","",NA,0,89,58,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","Suba","TransMilenio","Colombia","Colombia","Bogota",2013,9.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,78.6,100,0,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,50,100,0,92,-8.3,0,0,0,0,-100,100,100,0,89,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,"","",">20","","",NA,0,89,57,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Brisbane","South East Busway","(no BRT system name)","Australia","Australia","Brisbane",2013,16.5,69.7,100,100,0,100,50,87.5,100,100,100,100,100,100,100,92.9,100,66.7,100,100,100,60,0,100,100,0,0,100,100,100,85.7,100,100,100,100,50,0,80,-8.3,0,0,0,-40,0,33.3,50,-12.5,77,"Silver",61926,"Oceania",347.2,28.4,1970000,15.3,"347.2","19,900",">20","55","108,300",16.5,0,77,59,69.7,87.5,92.9,60,100,85.7,-8.3,12563.4,356800,28.4,37.5,2000,295,19900
"Buenos Aires","9 de Julio","Metrobus","Argentina","Argentina","Buenos Aires",2014,3.5,73.7,100,100,0,85.7,85.7,68.4,100,0,0,100,100,100,100,78.6,100,0,100,100,100,80,100,100,66.7,100,0,40,33.3,50,57.1,100,33.3,100,0,50,0,70,0,0,0,0,0,0,0,0,0,70,"Silver",12510,"Latin America",50.7,38.5,2891082,44.7,"50.7",NA,">20",NA,"255000",3,53.9,70,4,73.7,68.4,78.6,80,40,57.1,0,15584.4,6e+05,38.5,24,2011,30,3500
"Buenos Aires","Juan B Justo","Metrobus","Argentina","Argentina","Buenos Aires",2013,12.5,69.7,100,100,0,83.3,66.7,75,100,0,0,100,100,100,100,28.6,0,0,100,0,50,90,100,100,100,100,0,40,33.3,50,42.9,66.7,33.3,100,0,0,0,62,-2.8,0,0,-20,0,0,100,100,0,61,"Bronze",12510,"Latin America",50.7,38.5,2891082,44.7,"50.7","3,500",">20","24","94,000",12,53.9,61,60,69.7,75,28.6,90,40,42.9,-2.8,15584.4,6e+05,38.5,24,2011,30,3500
"Cali","1st phase (all corridors)","MIO","Colombia","Colombia","Cali",2013,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71.4,75,0,100,100,100,100,100,100,100,100,100,80,100,50,35.7,100,0,66.7,0,0,0,86,-11.1,0,0,-20,0,-100,100,100,0,82,"Silver",7904,"Latin America",327,36.1,2344703,48,"","",">20","","",NA,0,82,61,100,100,71.4,100,80,35.7,-11.1,13068,471361,36.07,17.8,2008,25,13000
"Cambridge","Route A","Cambridgeshire Busway","United Kingdom","UK","Cambridge",2013,26,66.7,71.4,71.4,0,100,100,79.2,100,0,100,100,100,100,0,35.7,0,0,100,0,100,30,0,100,0,0,0,100,100,100,85.7,100,66.7,100,100,100,0,66,0,0,0,0,0,0,100,100,0,66,"Bronze",46332,"Europe",204,40,128000,9,"","",">20","","",NA,0,66,62,66.7,79.2,35.7,30,100,85.7,0,300,12000,40,60,2011,12,NA
"Cape Town","Phase 1A","MyCiTi","South Africa","South Africa","Cape Town",2013,17,80.3,100,92.9,100,0,100,29.2,0,0,100,100,0,50,50,57.1,100,33.3,0,100,50,80,0,100,100,100,100,80,100,50,64.3,100,0,100,50,100,0,62.5,0,0,0,0,0,0,0,0,0,62.5,"Bronze",6483,"Africa",1530,17,3740026,43.7,"","",">20","","",NA,0,62.5,63,80.3,29.2,57.1,80,80,64.3,0,1176.5,20000,17,NA,2011,6,NA
"Caracas","L�nea 7","BusCaracas","Venezuela","Venezuela","Caracas",2014,5.2,97.4,87.5,100,100,100,100,47.4,0,0,66.7,100,100,50,50,64.3,0,66.7,100,100,100,90,100,100,100,0,100,80,100,50,50,100,66.7,66.7,0,0,0,75,-6.7,0,0,-60,0,0,0,0,0,72,"Silver",12772,"Latin America",4009,5.2,1943901,56.9,NA,NA,">20",NA,"30000",5.2,66.5,72,5,97.4,47.4,64.3,90,80,50,-6.7,5769.2,30000,5.2,NA,2012,NA,NA
"Changde","Changde Dadao","Changde BRT","China","China","Changde",2014,18.9,71.1,100,100,50,0,100,57.9,100,0,100,100,0,100,0,21.4,0,33.3,0,0,100,80,0,100,100,100,100,100,100,100,28.6,0,100,0,0,50,0,58,-11.1,0,-100,0,0,0,0,0,0,53,"Basic",7590,"Asia",558.2,18.9,1401000,NA,"558.2","800",">20","31",NA,18.9,0,53,6,71.1,57.9,21.4,80,100,28.6,-11.1,NA,NA,18.9,31,2012,27,800
"Changzhou","Entire Network","Changzhou BRT","China","China","Changzhou",2013,51.9,81.8,100,100,100,0,100,87.5,100,0,100,100,100,100,100,28.6,0,33.3,33.3,0,100,90,100,66.7,100,100,100,100,100,100,14.3,0,0,33.3,0,50,0,68,0,0,0,0,0,0,100,100,0,68,"Bronze",7590,"Asia",1237.8,49.9,2305000,NA,"","",">20","","",NA,0,68,64,81.8,87.5,28.6,90,100,14.3,0,7014,350000,49.9,18,2008,77,NA
"Chengdu","Erhuan Lu","Chengdu BRT","China","China","Chengdu",2014,28.8,100,100,100,100,100,100,57.9,100,0,100,100,0,100,0,50,0,33.3,100,50,100,50,0,100,0,100,100,100,100,100,42.9,0,100,66.7,0,50,0,72,0,0,0,0,0,0,0,0,0,72,"Silver",7590,"Asia",1200,28.8,7415590,15,NA,"6650",">20","26",NA,28.8,88.2,72,7,100,57.9,50,50,100,42.9,0,NA,NA,28.8,26,2013,40,6650
"Cleveland","Healthline","(no BRT system name)","United States","USA","Cleveland, OH",2013,15,87.9,100,100,85.7,50,100,66.7,100,0,100,100,100,100,50,57.1,50,66.7,33.3,50,100,90,100,100,100,100,0,100,100,100,64.3,100,33.3,100,50,50,0,76,0,0,0,0,0,0,33.3,0,0,76,"Silver",54630,"Northern America",8920.2,11.4,396815,2,"","",">20","","",NA,31,76,65,87.9,66.7,57.1,90,100,64.3,0,1386,15800,11.4,17.7,2009,10,NA
"Curitiba","(All RIT corridors)","Rede Integrada de Transporte (RIT)","Brazil","Brazil","Curitiba",2013,74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,35.7,0,33.3,100,0,50,80,100,66.7,100,0,100,80,100,50,57.1,66.7,100,66.7,0,50,0,82,0,0,0,0,0,0,100,100,0,82,"Silver",11384,"Latin America",179.6,83.9,1879355,46,"","",">20","","",NA,0,82,66,100,100,41.39,82.28,80,57.92,0,6686.5,561000,83.9,NA,1974,67,12500
"Curitiba","Green Line","Rede Integrada de Transporte (RIT)","Brazil","Brazil","Curitiba",2013,9.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.7,100,66.7,100,50,100,100,100,100,100,100,100,80,100,50,64.3,66.7,100,100,0,50,0,92,0,0,0,0,0,0,100,100,0,92,"Gold",11384,"Latin America",179.6,83.9,1879355,46,"","",">20","","",NA,0,92,67,100,100,41.39,82.28,80,57.92,0,6686.5,561000,83.9,NA,1974,67,12500
"Dalian","Zhangqian Lu - Songjiang Lu - Huabei Lu - Xi'an Lu","Dalian BRT","China","China","Dalian",2014,9,71.1,62.5,87.5,100,0,100,42.1,100,0,0,100,0,100,0,42.9,0,0,100,50,100,40,0,33.3,100,0,0,40,33.3,50,28.6,0,66.7,66.7,0,0,0,51,0,0,0,0,0,0,0,0,0,51,"Basic",7590,"Asia",1165.5,13.7,2992000,NA,NA,"6430",">20","24","87000",9,141,51,8,71.1,42.1,42.9,40,40,28.6,0,6350.4,87000,13.7,24,2008,75,6430
"Delhi","Moolchand-Ambedkar Nagar","Delhi BRTS","India","India","Delhi",2013,5.8,54.5,100,100,0,0,66.7,58.3,100,0,33.3,100,100,50,100,0,0,0,0,0,0,50,100,0,66.7,100,0,20,0,50,28.6,33.3,0,66.7,0,50,0,42,-33.3,0,0,-60,-100,-100,33.3,0,-12.5,30,"Basic",1582,"Asia",NA,NA,NA,NA,"","",">20","","",NA,214.9,30,68,54.5,58.3,0,50,20,28.6,-33.3,NA,NA,NA,NA,NA,NA,NA
"Eugene","Green Line","Emerald Express (EmX)","United States","USA","Eugene, OR",2013,12.5,60.6,57.1,57.1,85.7,0,100,45.8,0,0,100,100,100,50,0,35.7,0,66.7,33.3,0,100,70,100,66.7,100,0,0,100,100,100,71.4,100,100,66.7,50,50,0,58,-8.3,-30,0,0,0,0,0,100,0,55,"Bronze",54630,"Northern America",28.8,18.9,156185,4,"","","16-19","","",NA,0,55,69,60.6,45.8,35.7,70,100,71.4,-8.3,529.7,10000,18.88,24,2007,6,500
"Guadalajara","(only 1 line)","Macrobus","Mexico","Mexico","Guadalajara",2013,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,200,100,80,100,50,50,66.7,66.7,100,0,0,0,93,0,0,0,0,0,0,100,100,0,93,"Gold",10326,"Latin America",1967.5,16,1494134,28,"","",">20","","",NA,24,93,70,100,100,100,110,80,50,0,7937.5,127000,16,28,2009,12,9000
"Guangzhou","Zhongshan Avenue","Guangzhou BRT","China","China","Guangzhou",2013,22.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,0,100,100,100,100,100,100,100,80,66.7,100,78.6,33.3,100,66.7,100,100,100,91,0,0,0,0,0,0,100,100,0,91,"Gold",7590,"Asia",1764.2,22.5,6780000,32,"","",">20","","",NA,263.5,91,71,100,100,64.3,100,80,78.6,0,37777.8,850000,22.5,23,2010,350,29000
"Guatemala City","Eje Central","Transmetro","Guatemala","Guatemala","Guatemala City",2014,11.7,89.5,100,62.5,100,85.7,100,52.6,0,0,100,100,66.7,50,100,57.1,0,100,100,0,100,80,100,100,100,0,0,80,100,50,64.3,100,100,100,0,0,0,73,0,0,0,0,0,0,0,0,0,73,"Silver",3673,"Latin America",1420,35,1533461,23,NA,NA,">20","30","30000",11,0,73,9,93.66,74.76,64.63,74.74,80,64.3,0,6000,210000,35,26.5,2007,30,12500
"Guatemala City","Eje Sur","Transmetro","Guatemala","Guatemala","Guatemala City",2014,13,97.4,100,100,100,85.7,100,94.7,100,100,100,100,100,50,100,71.4,50,100,100,0,100,70,0,100,100,100,0,80,100,50,64.3,66.7,100,100,0,50,0,85,0,0,0,0,0,0,0,0,0,85,"Gold",3673,"Latin America",1420,35,1533461,23,NA,"12500",">20","23","180000",13,0,85,10,93.66,74.76,64.63,74.74,80,64.3,0,6000,210000,35,26.5,2007,30,12500
"Guayaquil","Troncal 1: Guasmo-R�o Daule","Metrovia","Ecuador","Ecuador","Guayaquil",2013,13.9,97,85.7,100,100,100,100,83.3,100,0,66.7,100,100,100,100,35.7,0,0,100,0,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,75,-19.4,0,0,-60,0,-100,100,100,-12.5,68,"Bronze",6346,"Latin America",7227,45.4,2690000,83,"","",">20","","",NA,0,68,73,97,81.07,35.7,90,80,35.7,-19.4,6828.2,310000,45.4,21.5,2006,30,15000
"Guayaquil","Troncal 3: Bastion-Centro","Metrovia","Ecuador","Ecuador","Guayaquil",2013,16.5,97,85.7,100,100,100,100,79.2,100,0,66.7,100,100,100,50,35.7,0,0,100,0,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,74,-19.4,0,0,-60,0,-100,100,100,-12.5,67,"Bronze",6346,"Latin America",7227,45.4,2690000,83,"","",">20","","",NA,0,67,72,97,81.07,35.7,90,80,35.7,-19.4,6828.2,310000,45.4,21.5,2006,30,15000
"Hefei","Hefei Line 1 (Changjiang)","Hefei BRT","China","China","Hefei",2014,15,52.6,50,100,100,0,0,57.9,100,0,100,100,0,100,0,85.7,100,33.3,100,100,100,70,0,100,100,100,0,20,0,50,42.9,0,66.7,66.7,0,100,0,57,-11.1,-30,0,-40,0,0,0,0,0,52,"Basic",7590,"Asia",2401.8,7.2,2222000,NA,NA,"3600","16-19","16","65250",7.7,0,52,11,52.6,57.9,85.7,70,20,42.9,-11.1,9062.5,65250,7.2,16,2010,55,3600
"Istanbul","Avc_lar - S�_�tl��e_me","Metrob�s","Turkey","Turkey","Istanbul",2014,52,97.4,100,100,87.5,100,100,89.5,100,100,66.7,100,100,100,50,71.4,0,100,100,100,100,50,0,33.3,100,100,0,90,83.3,100,32.1,33.3,83.3,33.3,0,0,0,78,-17.8,0,0,0,-60,-100,0,0,0,70,"Silver",10515,"Europe",2523,52,14160467,36,NA,NA,NA,NA,NA,NA,90,70,12,97.4,89.5,71.4,50,90,32.1,-17.8,14423.1,750000,52,35,2007,156,30000
"Jakarta","Corridor 1","TransJakarta","Indonesia","Indonesia","Jakarta",2013,12.9,90.9,100,100,100,50,100,79.2,100,0,33.3,100,100,100,100,35.7,0,0,100,100,0,80,100,66.7,100,0,100,80,100,50,35.7,66.7,33.3,66.7,0,0,0,71,-27.8,0,0,-60,-60,-100,100,100,-12.5,61,"Bronze",3492,"Asia",3830.4,206.8,9607787,36,"","",">20","","",NA,0,61,74,90.9,79.2,35.7,80,80,35.7,-27.8,1789.6,370000,206.75,19,2004,40,3600
"Jakarta","Corridor 1","TransJakarta","Indonesia","Indonesia","Jakarta",2013,12.9,90.9,100,100,100,50,100,79.2,100,0,33.3,100,100,100,100,35.7,0,0,100,100,0,80,100,66.7,100,0,100,80,100,50,35.7,66.7,33.3,66.7,0,0,0,71,-27.8,0,0,-60,-60,-100,100,100,-12.5,61,"Bronze",3492,"Asia",3830.4,206.8,9607787,36,"3,830.40","NI",">20","19","NI",12.9,0,61,75,90.9,79.2,35.7,80,80,35.7,-27.8,1789.6,370000,206.75,19,2004,40,3600
"Jakarta","Corridor 1","TransJakarta","Indonesia","Indonesia","Jakarta",2014,12.9,97.4,100,100,100,85.7,100,78.9,100,0,66.7,100,100,100,100,35.7,0,0,100,100,0,70,100,66.7,66.7,100,0,80,66.7,100,42.9,66.7,66.7,66.7,0,0,0,74,-6.7,0,0,0,-20,-40,0,0,0,71,"Silver",3492,"Asia",3830.4,206.8,9607787,36,NA,NA,">20","19",NA,12.9,0,71,14,97.4,78.9,35.7,70,80,42.9,-6.7,1789.6,370000,206.75,19,2004,40,3600
"Jakarta","Corridor 1","TransJakarta","Indonesia","Indonesia","Jakarta",2014,12.9,97.4,100,100,100,85.7,100,78.9,100,0,66.7,100,100,100,100,35.7,0,0,100,100,0,70,100,66.7,66.7,100,0,80,66.7,100,42.9,66.7,66.7,66.7,0,0,0,74,-6.7,0,0,0,-20,-40,0,0,0,71,"Silver",3492,"Asia",3830.4,206.8,9607787,36,NA,NA,">20",NA,NA,NA,0,71,13,97.4,78.9,35.7,70,80,42.9,-6.7,1789.6,370000,206.75,19,2004,40,3600
"Jinan","B7 corridor Xierhuan","Jinan BRT","China","China","Jinan",2014,7.1,81.6,100,100,100,0,100,36.8,0,0,100,0,0,100,100,35.7,0,33.3,0,100,100,90,100,100,100,0,100,100,100,100,57.1,0,100,100,0,100,0,65,-11.1,0,-100,0,0,0,0,0,0,60,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,"742.3",NA,">20",NA,NA,7.8,0,60,15,81.6,36.8,35.7,90,100,57.1,-11.1,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","Beiyuan dajie","Jinan BRT","China","China","Jinan",2013,15,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,"","",">20","","",NA,0,67,76,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","Erhuandonglu","Jinan BRT","China","China","Jinan",2013,8,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,"","",">20","","",NA,0,67,78,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","Gongyebeilu-Aotizonglu Line 6","Jinan BRT","China","China","Jinan",2013,6.6,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,"","",">20","","",NA,0,67,77,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","Lishan Lu","Jinan BRT","China","China","Jinan",2013,4.8,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,"","",">20","","",NA,0,67,79,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Johannesburg","Phase IA","Rea Vaya","South Africa","South Africa","Johannesburg",2013,25.5,95.5,100,92.9,100,83.3,100,87.5,100,66.7,100,100,100,50,100,71.4,100,33.3,100,100,0,100,100,100,100,100,100,100,100,100,28.6,66.7,0,66.7,0,0,0,81.5,-16.7,0,0,-60,-60,0,66.7,100,0,75.5,"Silver",6483,"Africa",2696,43.5,957441,32,"","",">20","","",NA,0,75.5,80,95.5,87.5,71.4,100,100,28.6,-16.7,965.5,42000,43.5,30,2009,64,5760
"Johannesburg","Phase IB","Rea Vaya","South Africa","South Africa","Johannesburg",2014,16.7,85.5,100,93.8,100,28.6,100,73.7,100,0,66.7,100,100,50,100,71.4,100,66.7,66.7,100,0,80,0,100,100,100,100,70,100,25,42.9,66.7,33.3,100,0,0,0,74,-28.9,0,0,-80,-40,0,-66.7,-50,-40,61,"Bronze",6483,"Africa",2696,43.5,957441,32,NA,NA,">20",NA,NA,18,0,61,16,85.5,73.7,71.4,80,70,42.9,-28.9,965.5,42000,43.5,30,2009,64,5760
"Lanzhou","Anning Lu","Lanzhou BRT","China","China","Lanzhou",2013,8.6,97,100,100,100,83.3,100,75,100,0,100,100,0,100,100,78.6,100,33.3,100,50,100,100,100,100,100,100,100,100,100,100,57.1,0,66.7,66.7,100,100,0,84,0,0,0,0,0,0,100,100,0,84,"Silver",7590,"Asia",1264.6,9.1,2064000,NA,"","",">20","","",NA,0,84,81,97,75,78.6,100,100,57.1,0,31868.1,290000,9.1,22,2013,87,6550
"Las Vegas","Strip & Downtown Express (SDX)","(no BRT system name)","United States","USA","Las Vegas, NV",2013,2,69.7,85.7,85.7,42.9,50,83.3,50,100,0,66.7,100,0,100,100,35.7,0,100,33.3,0,50,60,100,33.3,100,0,0,80,100,50,50,100,33.3,66.7,0,50,0,57,-8.3,0,0,0,-60,0,0,0,0,54,"Basic",54630,"Northern America",1288.9,63,606762,3.6,"","",">20","","",NA,6.2,54,82,69.7,50,35.7,60,80,50,-8.3,542.3,34189,63.05,21,2004,NA,NA
"Lianyungang","Xingfu-Hailian-Xingangcheng-Gangcheng","Lianyungang BRT","China","China","Lianyungang",2014,32.8,81.6,100,100,100,0,100,57.9,100,0,100,100,0,100,0,28.6,0,33.3,0,50,100,80,0,100,100,100,100,100,100,100,35.7,0,100,0,0,100,0,64,-6.7,-30,0,0,0,0,0,0,0,61,"Bronze",7590,"Asia",805.4,34,967000,NA,"805.4","1650","16-19","18","20000",34,0,61,17,81.6,57.9,28.6,80,100,35.7,-6.7,588.2,20000,34,18,2012,25,1650
"Lima","(only 1 line)","El Metropolitano","Peru","Peru","Lima",2013,16.8,97,100,100,100,83.3,100,95.8,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,80,100,50,42.9,100,0,66.7,50,0,0,89,-2.8,0,0,-20,0,0,100,100,0,88,"Gold",6541,"Latin America",3008.8,26,7605742,62,"","",">20","","",NA,34.4,88,83,97,95.8,100,100,80,42.9,-2.8,13461.5,350000,26,25.5,1972,117,22800
