"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Asia","Indonesia","Jakarta","Koridor 10","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 11","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 12","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 2","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 3","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 4","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 5","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 6","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 7","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 8","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 9","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Iran","Tabriz","","2011","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Asia","Iran","Tehran","Line 1","2009","",NA,"2014","2014","2014","",2013,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 10","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 2","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 3","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 4","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 5","2012","",NA,"2014","2014","2012","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 7","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 8","2012","2013",NA,"2014","2014","2012","",NA,"",2014,2014,2014,"",""
"Asia","Israel","Haifa","The Blue Line","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","",NA,"2013","2013","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","2015, calculated using running time and corridor length",2015,"",NA,2013,2015,"",""
"Asia","Israel","Haifa","The Green Line","2013, 6.2 km are commom to 3 corridors","",NA,"2013","2013","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","2015, calculated using running time and corridor length",2015,"",NA,2013,2015,"",""
"Asia","Israel","Haifa","The Red Line","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","",NA,"2013","2013","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","2015, calculated using running time and corridor length",2015,"",NA,2013,2015,"",""
"Asia","Japan","Kesennuma - Tome","Kesennuma Line","2014","",NA,"2014","2014","2014","",2014,"",NA,NA,2014,"",""
"Asia","Japan","Nagoya","Yutorito Line","2007","2007",2007,"","","","2007",2007,"2007",NA,NA,NA,"2007",""
"Asia","Malaysia","Subang Jaya","BRT Sunway Line","2015","",2015,"2015","2015","2015","",2015,"",2015,2015,2015,"2015",""
"Asia","Pakistan","Islamabad - Rawalpindi","Rawalpindi - Islmabad","","2015",2015,"","","","",2015,"2015",2015,2015,2015,"",""
"Asia","Pakistan","Lahore","","2015","2015",2013,"2015","","2015","2015",2015,"2015",NA,2015,2015,"2013",""
"Asia","Republic of Korea","Seoul","","2009","2009",NA,"","","","2011",NA,"2011",NA,2014,NA,"",""
"Asia","Taiwan","Chiayi","Chiayi BRT","2014","2010",2014,"2014","2014","","",NA,"",NA,2014,2014,"",""
"Asia","Taiwan","Taichung","Blue Line","2014","2014",2013,"","","","",NA,"",NA,2014,2014,"",""
"Asia","Taiwan","Taipei","","2007","2007",NA,"","","","2007",NA,"2007",NA,NA,2007,"2007",""
"Asia","Thailand","Bangkok","Bangkok BRT","2011","2011",NA,"","","","2010",2010,"2011",NA,NA,NA,"",""
"Europe","Belgium","Liège","Cadran - Fontainebleau","2009","",2009,"","","2009","",NA,"",NA,2014,2009,"",""
"Europe","Belgium","Liège","d’Avroy - Sauvenière","2009","",2009,"","","2009","",NA,"",NA,2014,2009,"",""
"Europe","Belgium","Liège","Quai Saint-Léonard","2009","",2009,"","","2009","",NA,"",NA,2014,2009,"",""
"Europe","Czech Republic","Prague","Line 213","2011","2011",2011,"","","","2011",2011,"",NA,NA,2011,"",""
"Europe","Finland","Helsinki","Runkolinja 550","2011","2011",NA,"","","2011","2011",2011,"",NA,2014,2011,"",""
"Europe","France","Belfort","Optymo BHNS","2009","2013",2014,"2014","2014","2014","2014",2014,"",NA,2014,2014,"",""
"Europe","France","Caen","Twisto TVR","2009","2009",NA,"","","","2010",2010,"",NA,NA,NA,"2010",""
"Europe","France","Cannes","Ligne 1","2010","",2014,"2014","2014","","",2014,"",NA,2014,2014,"2014",""
"Europe","France","Châlon-sur-Saône","Flash","2014","2013",2014,"2014","2014","2014","2014",2014,"",NA,2013,2014,"2013",""
"Europe","France","Douai","","2010","2010",NA,"","","","2010",NA,"",NA,NA,NA,"2010",""
"Europe","France","Evry","Tice","2014","",2014,"2014","2014","2014","2014",NA,"",NA,2012,2014,"",""
"Europe","France","La Rochelle","","2010","2010",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","France","Lille","","2010","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","France","Lorient","The Triskell","2011","2011",2011,"","","","2011",2011,"",NA,NA,2011,"",""
"Europe","France","Lyon","C-Lines","2009","2009",NA,"","","","2007",NA,"",NA,NA,NA,"",""
"Europe","France","Maubeuge","BHLS - Viavil","2009","2009",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","France","Metz","Ligne A","2009","",2013,"2013","2013","2013","2013",2013,"",2013,2013,2013,"",""
"Europe","France","Metz","Ligne B","2013, the corridor has a common section of 5.6 km with Ligne A","",2013,"2013","2013","2013","2013",2013,"",2013,2013,2013,"",""
"Europe","France","Nancy","TVR (GLT)","2009","2011",NA,"","","","2010",2010,"",NA,NA,NA,"2010",""
"Europe","France","Nantes","BusWay","2011","2011",2011,"2011","2011","2011","2011",2011,"2011",2011,2011,2013,"2007",""
"Europe","France","Nice","","","2009",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","France","Nîmes","Tango+ T1","2015","2014",2015,"2015","2015","2015","2015",2015,"",NA,2015,2015,"",""
"Europe","France","Paris","Ligne 393, RATP","2011, shared section with TVM corridor (5.15km) is not being considered here","2011",2011,"2011","2011","2011","2012",2012,"",2011,2011,2013,"",""
"Europe","France","Paris","T Zen 1","2011","2012",2011,"2011","2011","2011","",NA,"",2011,2011,2013,"",""
"Europe","France","Paris","TVM","2011","2011",2011,"2011","2011","2011","2011",2011,"2011",2011,2011,2013,"",""
"Europe","France","Rouen","T1","2015, 5.4 km are commom to 3 corridors","",2011,"","","","",2011,"",2011,2011,2015,"",""
"Europe","France","Rouen","T2","2015, 5.4 km are commom to 3 corridors; 1.7 km are commom to corridors T2 and T3","",2011,"","","","",2011,"",2011,2011,2015,"",""
"Europe","France","Rouen","T3","2015, 5.4 km are commom to 3 corridors; 1.7 km are commom to corridors T2 and T3","",2011,"","","","",2011,"",2011,2011,2015,"",""
"Europe","France","Saint-Nazaire","Hélyce","2013","2013",2012,"","","2013","2014",2013,"",NA,2012,2013,"2013",""
"Europe","France","Strasbourg","Ligne G","2014","2014",2014,"","","","2014",NA,"",NA,2014,2014,"2013",""
"Europe","France","Toulouse","","2010","2010",NA,"","","","2010",2010,"",NA,NA,NA,"2010",""
"Europe","Germany","Essen","The Spurbus","2011","2011",2011,"2011","2011","2011","2011",2011,"",2011,2011,NA,"",""
"Europe","Germany","Hamburg","Line 5","2013","2011",2011,"2011","2011","2011","2011",2011,"",2011,2011,2013,"",""
"Europe","Germany","Oberhausen","ÖPNV-Trasse","2011","2011",NA,"2011","2011","2011","2011",2011,"",NA,NA,2011,"",""
"Europe","Ireland","Dublin","","2009","2009",NA,"","","","",NA,"2009",NA,NA,NA,"",""
"Europe","Italy","Brescia","LAM1","","",NA,"","","2011","2011",2011,"",NA,NA,2011,"",""
"Europe","Italy","Brescia","LAM2","","2011",NA,"","","2011","2011",2011,"",NA,NA,2011,"",""
"Europe","Italy","Prato","Arancio","2015","",2014,"2015","2015, 0.46 km are commom to 3 corridors; 0.36 km are commom to corridors Arancio and Blu","2015","2015",2015,"",NA,2015,2015,"",""
"Europe","Italy","Prato","Blu","2015","",2012,"2015","2015, 0.46 km are commom to 3 corridors; 0.2 km are commom to corridors Rossa and Blu; 0.36 km are commom to corridors Arancio and Blu","2015","2015",2015,"",NA,2015,2015,"",""
"Europe","Italy","Prato","Rossa","2015","",2014,"2015","2015, 0.46 km are commom to 3 corridors; 0.2 km are commom to corridors Rossa and Blu","2015","2015",2015,"",NA,2015,2015,"",""
"Europe","Netherlands","Almere","Line 1","2009","2011",2011,"","","","2011",2011,"",2011,NA,2011,"",""
"Europe","Netherlands","Amsterdam","Zuidtangent","2011","2011",2011,"2011","2011","2011","2011",2011,"2011",2011,2011,NA,"",""
"Europe","Netherlands","Eindhoven","Phileas","2009","2007",NA,"","","","2007",NA,"",NA,NA,NA,"",""
"Europe","Netherlands","Enschede","Line 2","2014","2011",2011,"","","","2011",NA,"",NA,2011,2011,"",""
"Europe","Netherlands","Enschede","Line3","2014","2011",2011,"2011","","","2011",NA,"",NA,2011,2011,"",""
"Europe","Netherlands","Utrecht","","2010","2010",NA,"","","","",2010,"",NA,NA,NA,"",""
"Europe","Portugal","Lisbon","24 de Julho Corridor (mixed traffic with 10 tramways)","2011","2011",NA,"","","","2011",2011,"2011",NA,NA,2011,"",""
"Europe","Spain","Barcelona","Línia 64: Barceloneta - Pedralbes","2011","2011",2011,"2011","2011","2011","2011",2015,"2011",2015,2015,2015,"",""
"Europe","Spain","Castellon","Line 1","2011","2011",2011,"","","","2011",2011,"",NA,NA,2011,"",""
"Europe","Spain","Granada","LAC","2014","2014",2014,"2014","2014","2014","",2015,"",2014,2015,NA,"",""
"Europe","Spain","Madrid","Bus VAO","2011","2011",2011,"","","2011","2011",2011,"2011",NA,2011,2011,"",""
"Europe","Sweden","Gothenburg","Stombuss","2011","2011",2011,"2011","2011","2011","2011",2011,"",2011,2011,2013,"2010",""
"Europe","Sweden","Jonkoping","Line1","","",NA,"","","","2011",NA,"",NA,NA,2011,"",""
"Europe","Sweden","Jonkoping","Line2","","",NA,"","","","2011",NA,"",NA,NA,2011,"",""
"Europe","Sweden","Jonkoping","Line3","","",NA,"","","","2011",NA,"",NA,NA,2011,"",""
"Europe","Sweden","Stockholm","","2011","2011",NA,"","","","2011",2011,"",NA,NA,NA,"",""
"Europe","Switzerland","Zurich","Line 31","2011","2011",2011,"2011","2011","2011","2011",2011,"2011",2011,2011,2013,"",""
"Europe","Turkey","Istanbul","TUYAP - Sogutlucesme Metrobus Corridor","2012","2013",NA,"","2012","","2013",2013,"2013",NA,2013,2015,"2013",""
"Europe","United Kingdom","Bradford","Manchester Road","2014","2011",2014,"2014, 1.84 km in south-north direction and 0.51 km in north-south direction","","","",NA,"",NA,2015,2014,"",""
"Europe","United Kingdom","Cambridge","The Busway","2015","2015",2013,"2013","2013","2013","2011, on guided section",2015,"",2013,2015,2015,"",""
"Europe","United Kingdom","Crawley","","2005","2005",NA,"","","","2007",2007,"",NA,NA,NA,"2007",""
"Europe","United Kingdom","Edinburgh","","2005","2005",NA,"","","","",2010,"",NA,NA,NA,"2010",""
"Europe","United Kingdom","Fareham - Gosport","Eclipse","2013","",2013,"2013","2013","2013","",2013,"",2013,2013,2013,"",""
"Europe","United Kingdom","Kent","Fastrack","2005","2005",NA,"","","","",NA,"",NA,NA,NA,"2007",""
"Europe","United Kingdom","Leeds","","2005","2005",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","United Kingdom","London","","2010","2010",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","United Kingdom","Luton","","2010","2010",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","United Kingdom","Manchester","A6 Corridor","2011","2011",NA,"","","2011","2011",2011,"",NA,2011,2011,"",""
"Europe","United Kingdom","Runcorn","","2012","",NA,"","","","2001",2013,"",NA,2012,NA,"",""
"Europe","United Kingdom","Swansea","","2010","2010",NA,"","","","",NA,"",NA,NA,NA,"",""
"Europe","United Kingdom","York","FTR","2010","2010",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Argentina","Buenos Aires","9 de Julio","2013","2013",2013,"2013","2013","2013","",NA,"",2013,2013,2013,"",""
"Latin America","Argentina","Buenos Aires","Juan B. Justo","2011","2013",2011,"2011","2011","2011","2011",2011,"2013",2013,2013,2011,"",""
"Latin America","Argentina","Buenos Aires","Sur - Ramal Coronel Roca","2013","2013, for both sections of Corridor Sur",2013,"2013","2013","2013","",NA,"",2013,2013,2013,"",""
"Latin America","Argentina","Buenos Aires","Sur - Ramal Fernandéz de la Cruz","2013","2013, for both sections of Corridor Sur",2013,"2013","2013","2013","",NA,"",2013,2013,2013,"",""
"Latin America","Argentina","Córdoba","Sabattini","2014","2014",2014,"","","2014","",NA,"",NA,2014,2014,"",""
"Latin America","Argentina","Rosario","Córdoba","2013, one direction","",2013,"2013","2013","2013","2013",NA,"",2013,2013,2013,"",""
"Latin America","Argentina","Rosario","San Lorenzo - Laprida","2013, one direction","",2013,"2013","2013","2013","2013",NA,"",2013,2013,2013,"",""
"Latin America","Argentina","Rosario","Santa Fé - Maipú","2013, one direction","",2013,"2013","2013","2013","2013",NA,"",2013,2013,2013,"",""
"Latin America","Brazil","Belém","Almirante Barroso","2014","2014",NA,"","","2014","2014",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Belo Horizonte","Amazonas","","",NA,"","","","",NA,"2012",NA,NA,2014,"",""
"Latin America","Brazil","Belo Horizonte","Boulevard Arrudas","","",NA,"","","","",NA,"",NA,NA,2014,"",""
"Latin America","Brazil","Belo Horizonte","MOVE - Antônio Carlos","2014","2015, together corridors Antônio Carlos, Cristiano Machado and Área Central carries 500000 passenger",NA,"","","2014","",NA,"",2014,2014,2014,"","In 2014, the corridor received improvements and became to operate as a BRT"
"Latin America","Brazil","Belo Horizonte","MOVE - Área Central","2014","2015, together corridors Antônio Carlos, Cristiano Machado and Área Central carries 500000 passenger",NA,"","","2014","2014",2014,"",2014,2014,2014,"",""
"Latin America","Brazil","Belo Horizonte","MOVE - Cristiano Machado","2014","2015, together corridors Antônio Carlos, Cristiano Machado and Área Central carries 500000 passenger",NA,"","","2014","2014",2014,"2014",2014,2014,2014,"","In 2014, the corridor received improvements and became to operate as a BRT"
"Latin America","Brazil","Belo Horizonte","Nossa Senhora do Carmo","2014","",NA,"","","2014","",NA,"2012",NA,NA,2014,"",""
"Latin America","Brazil","Belo Horizonte","Pedro II","2014","",NA,"2014","2014","2014","",NA,"",NA,2014,2014,"",""
"Latin America","Brazil","Blumenau"," Av. Presidente Castelo Branco (Beira-Rio)","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Blumenau","Av. Martin Luther","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
