"category","obs","nas","no_nas","availability","timeliness","homogeneity"
"comfort",832,342,490,58.9,8.3,5.4
"corridor info",2496,717,1779,71.3,7.4,7.1
"cost",1248,1058,190,15.2,10.2,2.1
"its",416,144,272,65.4,8.6,4.9
"quality of service",416,297,119,28.6,10.5,4
"running ways",4160,1282,2878,69.2,8.2,11.5
"stations",2496,511,1985,79.5,7.6,7.9
"traffic engineering",1248,465,783,62.7,8.5,9.4
"travel time",1664,917,747,44.9,8.2,3.7
