"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Asia","China","Urumqi","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","www.chinabrt.org","Urumuqi BRT website","","www.chinabrt.org"
"Asia","China","Xiamen","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","","","Viva (www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","Viva (www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Yancheng","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Yichang","Calculated using annual demand and fare","www.chinabrt.org","data.worldbank.org","","","itdp-china.org","www.chinabrt.org","www.chinabrt.org","en.wikipedia.org","www.citypopulation.de","www.chinabrt.org","Calculated using system length and stations","www.itdp.org","citiscope.org","www.itdp.org"
"Asia","China","Yinchuan","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Zaozhuang","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Zhengzhou","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","India","Ahmedabad","Calculated using annual demand and fare","www.ahmedabadbrts.com","data.worldbank.org","www.lta.gov.sg","www.lta.gov.sg","www.embarq.org","www.worldbrt.net","www.embarq.org","","www.unhabitat.org","www.ahmedabadbrts.org","Calculated using system length and stations","Making of Janmarg Amdavad atwww.asiabrts.org","","www.worldbrt.net"
"Asia","India","Bhopal","Calculated using annual demand and fare","EMBARQ India","data.worldbank.org","cleanairinitiative.org","cleanairinitiative.org","","www.centralchronicle.com","","en.wikipedia.org","sustainablecitiescollective.com","www.mybusbhopal.in","Calculated using system length and stations","EMBARQ India","","Embarq India"
"Asia","India","Indore","","BRT Planning for Vientiane at www.asiabrts.org","data.worldbank.org","cleanairinitiative.org","cleanairinitiative.org","","","","","censusindia.gov.in","","EMBARQ India","EMBARQ India","","EMBARQ India"
