"city","country_BRTData","city_BRTData","continent","corridor","corridor_length","demand","separated_intersections","exclusive_lanes_length","segregated_counterflow_lanes_length","segregated_lanes_length","speed","peak_frequency","peak_load","integrated_feeders","offboard_payment","station_spacing","cost_per_km","year_corridor_commenced","country","population","pop_density","bus_split","car_split","bus_fare","gdp","year_system_commenced"
"Goiânia","Brazil","Goiânia","Latin America","80-90 Goiás",10.5,88300,"None",0,0,10.5,18.5,110,8000,"Yes","None",450,NA,1980,"Brazil",1430697,410,30,44,0.86,11384,1976
"Gothenburg","Sweden","Gothenburg","Europe","Stombuss",16.5,25000,"None",0,0,7.5,21,20,NA,"Yes","None",687,1.67,2003,"Sweden",529343,258,26,50,3.06,58939,2003
"Gran San Salvador","El Salvador","Gran San Salvador","Latin America","Corredor SITRAMSS",6.4,27000,"",NA,NA,6.4,15.4,140,3000,"","All",711,6.602,2015,"El Salvador",2177432,3689.7,NA,NA,0.33,4120,2013
"Granada","Spain","Granada","Europe","LAC",4.2,27667,"None",0,0,4.2,NA,3,NA,"Yes","All",381.8,NA,2014,"Spain",237540,596.9,NA,NA,1.33,29767,2014
"Guadalajara","Mexico","Guadalajara","Latin America","Línea 1",16,127000,"None",0,0,16,28,12,9000,"No","All",590,NA,2009,"Mexico",1494134,1967.5,28,27,0.42,10326,2009
"Guadalupe","Mexico","Guadalupe","Latin America","Guadalupe",7.6,15000,"None",0,0,7.6,20,15,NA,"No","All",447.1,NA,2005,"Mexico",690600,553.1,54.5,41.2,NA,10326,2005
"Guangzhou","China","Guangzhou","Asia","Zhongshan Avenue",22.5,850000,"None",0,0,22.5,23,350,29000,"No","All",860,NA,2010,"China",6780000,1764.2,32,21,0.32,7590,2010
"Guarulhos","Brazil","Guarulhos","Latin America","Guarulhos",3.7,30000,"",0,0,3.7,NA,NA,NA,"",NA,925,10.73,2013,"Brazil",1324781,2532.9,36.5,29.5,0.91,11384,2013
"Guatemala City","Guatemala","Guatemala","Latin America","Ramal Central",11,30000,"None",0,0,5.7,30,30,NA,"No","All",800,NA,2009,"Guatemala",1533461,1420,23,76,0.13,3673,2007
"Guatemala City","Guatemala","Guatemala","Latin America","Ramal Sur",24,180000,"None",0,0,16.1,23,30,12500,"No","All",1600,NA,2007,"Guatemala",1533461,1420,23,76,0.13,3673,2007
"Guayaquil","Ecuador","Guayaquil","Latin America","Guasmo - Río Daule",15.7,140000,"None",2.2,0,13.9,21.5,30,5030,"Yes","All",400,NA,2006,"Ecuador",2690000,7227,83,16,0.25,6346,2006
"Guayaquil","Ecuador","Guayaquil","Latin America","25 de Julio - Río Daule",13.6,NA,"None",0,0,6,NA,NA,15000,"Yes","All",400,NA,2013,"Ecuador",2690000,7227,83,16,0.25,6346,2006
"Guayaquil","Ecuador","Guayaquil","Latin America","Bastión Popular - Centro",16.1,170000,"None",0,0,16.5,21.5,30,5720,"Yes","All",400,NA,2008,"Ecuador",2690000,7227,83,16,0.25,6346,2006
"Haifa","Israel","Haifa","Asia","The Red Line",25,NA,"",0,0,25,27.3,15,NA,"","All",595.2,NA,2013,"Israel",271400,984.5,19,57,1.55,37208,2013
"Haifa","Israel","Haifa","Asia","The Blue Line",18,NA,"",0,0,18,24,10,NA,"","All",666.7,NA,2013,"Israel",271400,984.5,19,57,1.55,37208,2013
"Haifa","Israel","Haifa","Asia","The Green Line",16,NA,"",0,0,16,21.3,10,NA,"","All",571.4,NA,2013,"Israel",271400,984.5,19,57,1.55,37208,2013
"Halifax","Canada","Halifax","Northern America","",39.44,7266,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2005,"Canada",390096,71,NA,NA,2.66,50235,2005
"Hamburg","Germany","Hamburg","Europe","Line 5",15.1,60000,"None",0,0,4.08,18.8,12,NA,"N/A","None",503.3,NA,2005,"Germany",1706696,440.7,18,42,3.43,47822,2005
"Hangzhou","China","Hangzhou","Asia","Line 1",27.1,NA,"",0,0,7,NA,NA,NA,"",NA,1500,NA,2006,"China",4454000,1451.9,NA,NA,0.63,7590,2006
"Hangzhou","China","Hangzhou","Asia","Line 3",9.3,NA,"",NA,NA,NA,NA,NA,NA,"",NA,1030,NA,2010,"China",4454000,1451.9,NA,NA,0.63,7590,2006
"Hangzhou","China","Hangzhou","Asia","Line 2",19,NA,"",0,0,11.8,NA,NA,NA,"",NA,780,NA,2008,"China",4454000,1451.9,NA,NA,0.63,7590,2006
"Hefei","China","Hefei","Asia","Changjiang Lu",7.2,65250,"",NA,NA,NA,16,55,3600,"","All",800,NA,2010,"China",2222000,2401.8,NA,NA,0.32,7590,2010
"Helsinki","Finland","Helsinki","Europe","Runkolinja 550",27.5,30000,"",NA,NA,7.5,26,20,NA,"","None",750,NA,2003,"Finland",614074,1418,34,23,3.32,49824,2003
"Indore","India","Indore","Asia","",11.45,45500,"",0,0,11.45,NA,NA,NA,"","All",550,NA,2013,"India",1960631,NA,16,37,NA,1582,2013
"Islamabad - Rawalpindi","Pakistan","Islamabad - Rawalpindi","Asia","Rawalpindi - Islmabad",22.5,125000,"All",22.5,0,0,NA,21,2100,"No","All",937.5,NA,2015,"Pakistan",3871000,726.7,35,NA,0.19,1316,2015
"Istanbul","Turkey","Istanbul","Europe","TUYAP - Sogutlucesme Metrobus Corridor",52,750000,"None",0,50,0,35,156,30000,"No","All",1181.8,9.084,2007,"Turkey",14160467,2523,36,15,1.01,10515,2007
"Jaboatão dos Guararapes","Brazil","Jaboatão dos Guararapes","Latin America","Av. Ayrton Senna",1.5,NA,"None",0,0,1.5,NA,NA,NA,"No","None",500,NA,2012,"Brazil",686122,1332.3,37.5,32.4,0.64,11384,2012
"Jaipur","India","Jaipur","Asia","",7.1,6622,"None",0,0,7.1,18,23,1046,"No","None",710,NA,2010,"India",3136000,1830,29,39,0.18,1582,2010
"Jakarta","Indonesia","Jakarta","Asia","Koridor 2",14,NA,"None",NA,NA,NA,19,40,NA,"","All",583,NA,2006,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 3",19,NA,"None",NA,NA,NA,19,40,NA,"","All",1187,NA,2006,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 9",28.8,NA,"None",NA,NA,NA,19,40,NA,"","All",1066,NA,2011,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 11",11.4,NA,"None",NA,NA,NA,19,40,NA,"","All",712,NA,2012,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 6",13.3,NA,"None",NA,NA,NA,19,40,NA,"","All",665,NA,2007,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 8",26,NA,"None",NA,NA,NA,19,40,NA,"","All",1181,NA,2009,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 10",19.4,NA,"None",NA,NA,NA,19,40,NA,"","All",881,NA,2011,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 12",23.8,NA,"None",NA,NA,NA,19,40,NA,"","All",991,NA,2013,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 4",11.85,NA,"None",NA,NA,NA,19,40,NA,"","All",697,NA,2007,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 7",12.8,NA,"None",NA,NA,NA,19,40,NA,"","All",914,NA,2007,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 5",13.5,NA,"None",NA,NA,NA,19,40,NA,"","All",750,NA,2007,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jakarta","Indonesia","Jakarta","Asia","Koridor 1",12.9,NA,"None",NA,NA,NA,19,40,NA,"","All",645,1,2004,"Indonesia",9607787,3830.4,36,41,0.26,3492,2004
"Jinan","China","Jinan","Asia","BRT-1",11.5,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2008,"China",4340000,742.3,NA,NA,0.32,7590,2008
"Jinan","China","Jinan","Asia","BRT-7",7.8,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2014,"China",4340000,742.3,NA,NA,0.32,7590,2008
"Jinan","China","Jinan","Asia","BRT-2",11,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2008,"China",4340000,742.3,NA,NA,0.32,7590,2008
"Jinan","China","Jinan","Asia","BRT-5",19,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2009,"China",4340000,742.3,NA,NA,0.32,7590,2008
"Jinan","China","Jinan","Asia","BRT-3",11.2,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2009,"China",4340000,742.3,NA,NA,0.32,7590,2008
"Jinan","China","Jinan","Asia","BRT-6",13.8,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2009,"China",4340000,742.3,NA,NA,0.32,7590,2008
"Jinan","China","Jinan","Asia","BRT-4",9.5,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2009,"China",4340000,742.3,NA,NA,0.32,7590,2008
"João Pessoa","Brazil","João Pessoa","Latin America","Av. Epitácio Pessoa - Av. Miguel Couto - Av. Sanhauá - Rua Guedes Pereira",7.3,276243,"None",0,0,7.3,18,200,37070,"No","None",560,NA,2010,"Brazil",791438,443.4,37.5,32.4,0.7,11384,2010
"Johannesburg","South Africa","Johannesburg","Africa","1B",18,NA,"None",0,0,18,NA,20,NA,"Yes","All",1384,NA,2013,"South Africa",957441,2696,32,37,0.88,6483,2009
"Johannesburg","South Africa","Johannesburg","Africa","1A",25.5,42000,"None",0,0,25.5,30,64,5760,"Yes","All",772,NA,2009,"South Africa",957441,2696,32,37,0.88,6483,2009
"Joinville","Brazil","Joinville","Latin America","Blumenau",2.7,NA,"None",0,0,2.7,18.5,12,NA,"No","None",400,NA,2008,"Brazil",562151,101.1,26.5,29,0.96,11384,1999
"Joinville","Brazil","Joinville","Latin America","João Colim",3,NA,"None",0,0,3,18.5,12,NA,"No","None",400,NA,2008,"Brazil",562151,101.1,26.5,29,0.96,11384,1999
"Joinville","Brazil","Joinville","Latin America","São Paulo",1.5,NA,"None",0,0,1.5,18.5,20,NA,"No","None",400,NA,2008,"Brazil",562151,101.1,26.5,29,0.96,11384,1999
"Joinville","Brazil","Joinville","Latin America","Avenida JK",0.7,NA,"None",0,0,0.7,18.5,NA,NA,"No","None",400,NA,1999,"Brazil",562151,101.1,26.5,29,0.96,11384,1999
"Joinville","Brazil","Joinville","Latin America","Santa Catarina",1.3,NA,"None",0,0,1.3,18.5,20,NA,"No","None",400,NA,2008,"Brazil",562151,101.1,26.5,29,0.96,11384,1999
"Jonkoping","Sweden","Jonkoping","Europe","Line1",13.4,NA,"",NA,NA,NA,21,NA,NA,"",NA,440,NA,1996,"Sweden",129889,64,NA,NA,NA,58939,1996
"Jonkoping","Sweden","Jonkoping","Europe","Line2",11.5,NA,"",NA,NA,NA,23,NA,NA,"",NA,440,NA,1996,"Sweden",129889,64,NA,NA,NA,58939,1996
"Jonkoping","Sweden","Jonkoping","Europe","Line3",14.3,NA,"",NA,NA,NA,21,NA,NA,"",NA,440,NA,2001,"Sweden",129889,64,NA,NA,NA,58939,1996
"Juárez","Mexico","Juárez","Latin America","ViveBús",25,50000,"",NA,NA,NA,NA,NA,NA,"","All",757.6,NA,2013,"Mexico",1332131,67.9,36.1,59,0.36,10326,2013
"Juiz de Fora","Brazil","Juiz de Fora","Latin America","Av. Barão do Rio Branco",3.1,NA,"None",0,0,3.1,NA,116,NA,"No","None",387.5,NA,1982,"Brazil",555284,360.4,50.7,37.2,0.65,11384,1982
"Kansas City","United States","Kansas City","Northern America","Main Street",14.4,5400,"None",0,0,7.5,22.5,6,NA,"","None",654,1.45,2005,"United States",464310,99,1.3,97,1.5,54630,2005
"Kansas City","United States","Kansas City","Northern America","Troost Avenue",20.8,8500,"None",0,0,NA,22.5,6,NA,"","None",945,1.48,2011,"United States",464310,99,1.3,97,1.5,54630,2005
"Kent","United Kingdom","Kent","Europe","Fastrack",15,5726,"",NA,NA,NA,NA,NA,NA,"",NA,NA,24.22,2006,"United Kingdom",199370,1185,NA,NA,NA,46332,2006
"Kesennuma - Tome","Japan","Kesennuma - Tome","Asia","Kesennuma Line",21.7,NA,"",21.7,0,0,NA,5,NA,"",NA,1276,NA,2012,"Japan",176643,171,NA,NA,NA,36194,2012
"Kunming","China","Kunming","Asia","",46.7,156000,"",NA,NA,NA,NA,NA,6300,"",NA,NA,NA,1999,"China",2727000,590.8,NA,NA,NA,7590,1999
"La Rochelle","France","La Rochelle","Europe","",6,5600,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2009,"France",75170,203.6,NA,NA,1.44,42733,2009
"Lagos","Nigeria","Lagos","Africa","Lagos BRT",22,2e+05,"",NA,NA,14.3,30,NA,NA,"",NA,800,1.7,2008,"Nigeria",22583305,11009,71.5,15,NA,3203,2008
"Lahore","Pakistan","Lahore","Asia","",27,180000,"Partial",8.3,0,18.7,26,30,10000,"","All",1000,11,2013,"Pakistan",7132000,NA,16,24,0.19,1316,2013
"Lanzhou","China","Lanzhou","Asia","Line 1",9.1,290000,"",0,0,8.6,22,87,6550,"","All",650,NA,2013,"China",2064000,1264.6,NA,NA,0.16,7590,2013
"Las Vegas","United States","Las Vegas","Northern America","SX (Sahara Express)",36.5,10000,"None",0,0,21.08,NA,NA,NA,"","All",618.6,1.107,2012,"United States",606762,1288.9,3.6,93,6,54630,2004
"Las Vegas","United States","Las Vegas","Northern America","MAX (Metropolitan Area Express)",12.07,7400,"None",0,0,7.24,21.9,NA,NA,"","All",862.1,1.682,2004,"United States",606762,1288.9,3.6,93,6,54630,2004
"Las Vegas","United States","Las Vegas","Northern America","SDX (Strip & Downtown Express)",14.48,16789,"",0,NA,3.62,20,NA,NA,"","All",851.8,3.729,2010,"United States",606762,1288.9,3.6,93,6,54630,2004
"Leeds","United Kingdom","Leeds","Europe","",4.2,31000,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1995,"United Kingdom",750683,1098,38,57,NA,46332,1995
"León de los Aldama","Mexico","León de los Aldama","Latin America","Sistema Integrado de Transporte Optibus",31.8,220500,"None",0,1.35,30.45,20,45,7000,"Yes","All",400,NA,2003,"Mexico",1278087,6382,33.9,27,0.48,10326,2006
"Lianyungang","China","Lianyungang","Asia","Line 1",34,20000,"",0,0,34,18,25,1650,"","All",1170,NA,2012,"China",967000,805.4,NA,NA,0.32,7590,2012
"Liège","Belgium","Liège","Europe","Cadran - Fontainebleau",1.2,NA,"Partial",0,0,1.2,NA,NA,NA,"","None",600,NA,NA,"Belgium",195414,600.9,16,76,2.1,47353,1968
"Liège","Belgium","Liège","Europe","d’Avroy - Sauvenière",2.2,NA,"None",0,0,2.2,NA,NA,NA,"","None",314.3,NA,NA,"Belgium",195414,600.9,16,76,2.1,47353,1968
"Liège","Belgium","Liège","Europe","Quai Saint-Léonard",2.6,NA,"None",0,0,2.6,NA,NA,NA,"","None",371.4,NA,NA,"Belgium",195414,600.9,16,76,2.1,47353,1968
"Lille","France","Lille","Europe","",5.5,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2008,"France",227560,1951,9,58,1.66,42733,2008
"Lima","Peru","Lima","Latin America","COSAC I",26,350000,"All",9.2,0,16.8,25.5,117,22800,"Yes","Partial",700,NA,1972,"Peru",7605742,3008.8,62,12,0.76,6541,1972
"Lisbon","Portugal","Lisbon","Europe","24 de Julho Corridor (mixed traffic with 10 tramways)",4.8,27000,"",NA,NA,NA,16,30,12000,"",NA,400,NA,1990,"Portugal",547733,940.5,35,48,1.99,22132,1990
"London","United Kingdom","London","Europe","",20,9000,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2010,"United Kingdom",8308369,1094.5,28,40,NA,46332,2010
"Londrina","Brazil","Londrina","Latin America","Winston Churchill",4.3,37000,"None",0,0,4.3,NA,123,NA,"No","None",195,NA,2011,"Brazil",548249,144.1,36,34,0.84,11384,2010
"Londrina","Brazil","Londrina","Latin America","Rua João Cândido",1.3,NA,"None",0,0,1.3,NA,NA,NA,"No","None",430,NA,2010,"Brazil",548249,144.1,36,34,0.84,11384,2010
"Londrina","Brazil","Londrina","Latin America","Rua Duque de Caxias",1.2,NA,"None",0,0,1.2,NA,NA,NA,"No","None",300,NA,2010,"Brazil",548249,144.1,36,34,0.84,11384,2010
"Lorient","France","Lorient","Europe","The Triskell",4.6,45000,"All",NA,NA,NA,21.5,9,NA,"",NA,275,NA,2007,"France",57204,270.6,8,66,NA,42733,2007
"Los Angeles","United States","Los Angeles","Northern America","Orange Line",22.9,33000,"None",0,0,21.25,32,15,NA,"No","All",1635.7,NA,2005,"United States",3792621,1017,23,44,1.75,54630,2005
"Luton","United Kingdom","Luton","Europe","",5,30000,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2006,"United Kingdom",203641,4697,NA,NA,NA,46332,2006
"Lyon","France","Lyon","Europe","C-Lines",4,4700,"",NA,NA,NA,17,NA,NA,"",NA,NA,NA,2006,"France",484344,359.8,15,51,2.21,42733,2006
"Maceió","Brazil","Maceió","Latin America","Av. Fernandes Lima",15,NA,"None",0,0,15,NA,NA,NA,"No","None",750,NA,2010,"Brazil",1013773,597.8,37.5,32.4,0.71,11384,2010
"Madrid","Spain","Madrid","Europe","Bus VAO",16.1,112000,"Partial",NA,NA,3.9,28.5,185,7500,"","None",860,NA,1995,"Spain",3207247,4700,42,29,1.66,29767,1995
"Manchester","United Kingdom","Manchester","Europe","A6 Corridor",15.5,21000,"",NA,NA,5.27,16,10,NA,"","None",310,NA,1996,"United Kingdom",514417,2105,17,71,4.77,46332,1996
"Maubeuge","France","Maubeuge","Europe","BHLS - Viavil",8.4,5000,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2008,"France",31046,328.8,5,70,1.44,42733,2008
"Medellin","Colombia","Medellín","Latin America","Línea 1",12.5,52000,"None",0,0,12.5,16,40,2450,"Yes","All",595,NA,2011,"Colombia",2223078,5840,51,19,0.62,7904,2011
"Medellin","Colombia","Medellín","Latin America","Línea 2",5.5,8000,"None",0,0,5.5,NA,10,NA,"Yes","None",685,NA,2013,"Colombia",2223078,5840,51,19,0.62,7904,2011
"Merida","Venezuela","Merida","Latin America","Trolebús de Mérida - Línea 1",13.1,30000,"None",0,13.1,0,25,16,9000,"Yes","All",625,NA,2007,"Venezuela",250303,169.5,54,44,0.64,12772,2007
"Metz","France","Metz","Europe","Ligne B",11,NA,"None",0,0,9.9,20,12,NA,"N/A","All",523,NA,2013,"France",120738,242.4,11.2,54,1.66,42733,2013
"Metz","France","Metz","Europe","Ligne A",12,NA,"None",0,0,11.25,20,12,NA,"N/A","All",480,NA,2013,"France",120738,242.4,11.2,54,1.66,42733,2013
"Mexico City","Mexico","Mexico City","Latin America","Línea 4, Buenavista - San Lázaro - Aeropuerto",28,55000,"None",0,0,28,10,13,1000,"No","None",965.5,NA,2012,"Mexico",8851080,5871,77.9,20.7,0.36,10326,2005
"Mexico City","Mexico","Mexico City","Latin America","Línea 5, Río de los Remedios - San Lázaro",10,60000,"None",0,0,10,18,36,5400,"No","All",625,NA,2013,"Mexico",8851080,5871,77.9,20.7,0.36,10326,2005
"Mexico City","Mexico","Mexico City","Latin America","Línea 1, Indios Verdes - Caminero",30,470000,"None",0,0,30,18.3,77,12000,"No","All",769.2,NA,2005,"Mexico",8851080,5871,77.9,20.7,0.36,10326,2005
"Mexico City","Mexico","Mexico City","Latin America","Línea 3, Tenayuca - Etiopia II",17,140000,"None",0,0,17,18.6,37,5000,"No","All",629.6,NA,2011,"Mexico",8851080,5871,77.9,20.7,0.36,10326,2005
"Mexico City","Mexico","Mexico City","Latin America","Línea 2, Tacubaya - Tepalcates",20,175000,"None",0,3.8,20,20,40,6500,"No","All",645.2,NA,2009,"Mexico",8851080,5871,77.9,20.7,0.36,10326,2005
"Miami","United States","Miami","Northern America","South Miami-Dade Busway",34,23000,"",NA,NA,NA,45,NA,NA,"",NA,607.1,NA,1997,"United States",413892,912.5,3.7,94,2.25,54630,1997
"Monterrey","Mexico","Monterrey","Latin America","Ecovía",30.1,NA,"Partial",NA,0,30.1,NA,NA,NA,"","All",771.8,10.014,2014,"Mexico",1135550,553.1,54.5,41.2,0.67,10326,2014
"Montevideo","Uruguay","Montevideo","Latin America","Corredor Garzón",6.3,25000,"None",0,0,6.3,NA,18,NA,"Yes","None",370,NA,2012,"Uruguay",1335484,203.5,45,43,0.88,16807,2012
"Nagoya","Japan","Nagoya","Asia","Yutorito Line",6.8,9000,"All",NA,NA,NA,30,17,750,"",NA,NA,46.5,2001,"Japan",2262176,1398,NA,NA,2.49,36194,2001
"Nancy","France","Nancy","Europe","TVR (GLT)",12,37000,"",NA,NA,NA,14.5,13,NA,"",NA,NA,16.917,2001,"France",105421,183.8,13,50,NA,42733,2001
"Nantes","France","Nantes","Europe","BusWay",6.9,25000,"None",0,0,6,21,17,2000,"N/A","None",460,19.714,2006,"France",284970,264.4,16,52,2.21,42733,2006
"Natal","Brazil","Natal","Latin America","Av. Bernardo Vieira",3.5,NA,"None",0,0,3.5,NA,NA,NA,"No","None",437.5,NA,2008,"Brazil",869954,480.5,36,25,0.69,11384,2008
"New York","United States","New York","Northern America","B44 SBS (Nostrand Avenue)",14.96,41000,"None",NA,NA,NA,NA,12,NA,"N/A","All",805,0.602,2013,"United States",8405837,720,23,44,2.75,54630,2008
"New York","United States","New York","Northern America","S79 SBS (Hylan Boulevard)",24.13,9972,"None",0,0,3.53,NA,8,NA,"N/A","All",805,0.29,2012,"United States",8405837,720,23,44,2.75,54630,2008
"New York","United States","New York","Northern America","M15 SBS (1st/2nd Ave)",13.68,57557,"None",0,0,10.14,12,15,NA,"N/A","All",805,1.279,2010,"United States",8405837,720,23,44,2.75,54630,2008
"New York","United States","New York","Northern America","Bx41 SBS (Webster Avenue)",8.53,22000,"None",0,0,6.44,19.8,8,NA,"N/A","All",775,1.758,2013,"United States",8405837,720,23,44,2.75,54630,2008
"New York","United States","New York","Northern America","Bx12 SBS (Fordham Road - Pelham Pkwy)",14.48,47037,"None",0,0,6.12,18.5,15,NA,"N/A","All",805,0.691,2008,"United States",8405837,720,23,44,2.75,54630,2008
"New York","United States","New York","Northern America","M34/M34A SBS (34th Street)",4,22000,"None",NA,NA,NA,NA,17,NA,"N/A","All",327,6.75,2011,"United States",8405837,720,23,44,2.75,54630,2008
"Nezahualcoyotl","Mexico","Nezahualcoyotl","Latin America","Linea III: Chimalhuacán - Pantitlán",16.9,130000,"None",0,0,16.9,16.9,20,NA,"No","All",625.9,41.42,2013,"Mexico",2155996,2450.7,78.3,20.7,0.48,10326,2013
"Nice","France","Nice","Europe","",NA,58000,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2010,"France",343304,387.4,11,48,1.66,42733,2010
"Nîmes","France","Nîmes","Europe","Tango+ T1",4.5,7719,"Partial",0,0,4.5,22.5,12,NA,"","Partial",460,NA,2012,"France",146709,893,10,57,1.44,42733,2012
"Niterói","Brazil","Niterói","Latin America","Corredor Metropolitano Alameda São Boaventura",6,250000,"None",0,0.5,5.5,NA,120,NA,"No","None",600,NA,2010,"Brazil",496696,2237,46.5,16.5,0.86,11384,2010
"Oakland","United States","Oakland","Northern America","San Pablo Rapid",23.8,13000,"",NA,NA,NA,NA,12,NA,"",NA,NA,NA,2003,"United States",400740,2475.2,15.8,78,NA,54630,2003
"Oberhausen","Germany","Oberhausen","Europe","ÖPNV-Trasse",6.8,25000,"",6.8,0,0,34,40,NA,"",NA,1133.3,NA,1996,"Germany",209097,1646,16,56,NA,47822,1996
"Olinda","Brazil","Olinda","Latin America","Av. Pan Nordestina - PE 15",13.5,447695,"None",0,0,13.5,NA,269,NA,"Yes","None",NA,NA,2005,"Brazil",810826,1332.3,NA,NA,0.64,11384,2005
"Orlando","United States","Orlando","Northern America","LYNX Lymmo",5.1,4475,"",NA,NA,NA,NA,15,NA,"",NA,NA,4.047,1997,"United States",249562,5364,2,97,2,54630,1997
"Ottawa","Canada","Ottawa","Northern America","Transitway",35.4,220000,"None",35.4,NA,NA,45,180,10500,"Yes","All",621.1,14.623,1983,"Canada",951727,209.6,19,72,2.7,50235,1983
"Panama","Panama","Panama","Latin America","Cinta Costera",5,NA,"None",0,0,5,NA,NA,9500,"No","All",NA,NA,2011,"Panama",813097,498,73.5,6.3,0.25,11949,2011
"Paris","France","Paris","Europe","TVM",20,66000,"Partial",0,0,19,23,17,3000,"N/A","None",625,NA,1993,"France",2243833,711.7,34,16,1.99,42733,1993
"Paris","France","Paris","Europe","Ligne 393, RATP",6.5,17500,"None",0,0,6.5,24,12,NA,"N/A","None",650,NA,2011,"France",2243833,711.7,34,16,1.99,42733,1993
"Paris","France","Paris","Europe","T Zen 1",14.7,6000,"None",0,0,9.6,NA,NA,NA,"N/A","None",1000,NA,2011,"France",2243833,711.7,34,16,1.99,42733,1993
"Perira","Colombia","Pereira","Latin America","Ruta 3",7.6,NA,"None",0,0,7.6,20,15,NA,"Yes","All",542.9,NA,2006,"Colombia",469644,828.1,46,22,0.62,7904,2006
"Perira","Colombia","Pereira","Latin America","Ruta 2",10.8,NA,"None",0,0,10,20,15,NA,"Yes","All",568.4,NA,2006,"Colombia",469644,828.1,46,22,0.62,7904,2006
"Perira","Colombia","Pereira","Latin America","Ruta 1",10.8,NA,"None",0,0,10,20,12,NA,"Yes","All",568.4,NA,2006,"Colombia",469644,828.1,46,22,0.62,7904,2006
"Phoenix","United States","Phoenix","Northern America","",128.01,2372,"",NA,NA,NA,NA,6,NA,"",NA,NA,NA,2008,"United States",1488750,2604.2,3.2,94,NA,54630,2008
"Pittsburgh","United States","Pittsburgh","Northern America","South Busway",7,9262,"",NA,NA,NA,45.1,30,1650,"","None",627,NA,1977,"United States",306211,467.9,6,90,NA,54630,1977
"Pittsburgh","United States","Pittsburgh","Northern America","West Busway",9,8419,"",NA,NA,NA,48.3,12,1365,"","None",1350,NA,2000,"United States",306211,467.9,6,90,NA,54630,1977
"Pittsburgh","United States","Pittsburgh","Northern America","MLK East Busway",15,24000,"",NA,NA,NA,48.3,15,5000,"","None",1633,NA,1983,"United States",306211,467.9,6,90,NA,54630,1977
"Port of Spain - Arima","Trinidad and Tobago","Port of Spain - Arima","Latin America","Priority Bus Route",24.9,NA,"None",0,0,24.9,NA,NA,NA,"","None",NA,NA,2011,"Trinidad and Tobago",442579,573.1,NA,NA,0.39,21324,2011
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Sertório",5.8,20100,"None",0,0,5.8,21,32,4400,"No","None",950,NA,1990,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Teresópolis - Av. Nonoai - Av. Cavalhada",4.5,NA,"None",0,0,4.5,NA,NA,NA,"No","None",264.7,NA,2013,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Baltazar Garcia",5.15,49200,"None",0,0,5.15,NA,NA,12100,"No","None",570,NA,2008,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. João Pessoa",2.7,55500,"None",0,0,2.7,18,NA,14600,"No","None",540,NA,1981,"Brazil",1476867,408,43,28,0.84,11384,1977
