"category_variable","id_variable","year","type","variable","Difference","Mean.x","Mean.y","x_difference","p.value","max_score","left_beta","mean_beta","right_beta","beta","left_productivity","mean_productivity","right_productivity","interval_productivity","significant","ranking"
"f","f3","2013-2014","weaknesses","Pedestrian access",-35.163,40.583,75.746,-46.4,0,3,39.8583772489935,283.24834901915,526.638320789307,NA,-1402,-9960,-18518,-17116,"Yes",53
"f","f2","2014","no_difference","Integration with other public transport",11.152,86.68,75.528,14.8,0.208,3,39.8583772489935,283.24834901915,526.638320789307,NA,445,3159,5873,5428,"Yes",43
"f","f3","2014","weaknesses","Pedestrian access",-23.368,51.113,74.481,-31.4,0.011,3,39.8583772489935,283.24834901915,526.638320789307,NA,-931,-6619,-12306,-11375,"Yes",39
"f","f3","2013","weaknesses","Pedestrian access",-55.769,20.837,76.606,-72.8,0,3,39.8583772489935,283.24834901915,526.638320789307,NA,-2223,-15796,-29370,-27147,"Yes",25
"f","f4","2013","no_difference","Secure bicycle parking",3.723,25,21.277,17.5,0.771,2,39.8583772489935,283.24834901915,526.638320789307,NA,148,1055,1961,1813,"Yes",54
"f","f4","2014","no_difference","Secure bicycle parking",-7.812,0,7.812,-100,0.11,2,39.8583772489935,283.24834901915,526.638320789307,NA,-311,-2213,-4114,-3803,"Yes",46
"g","g","2013","strengths","Point Deductions",7.266,0,-7.266,-100,0.02,-45,-395.044997088352,277.021116356058,949.087229800467,NA,-2870,2013,6896,9766,"No",126
"g","g2","2013","no_difference","Peak passengers per hour per direction (pphpd) below 1,000",0,0,0,NA,NA,-5,-395.044997088352,277.021116356058,949.087229800467,NA,0,0,0,0,"No",92
"g","g2","2014","weaknesses","Peak passengers per hour per direction (pphpd) below 1,000",-27.083,-33.333,-6.25,433.3,0.014,-5,-395.044997088352,277.021116356058,949.087229800467,NA,10699,-7503,-25704,-36403,"No",19
"g","g3","2014","no_difference","Lack of enforcement of right-of-way",4.833,-2.667,-7.5,-64.4,0.359,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-1909,1339,4587,6496,"No",88
"g","g3","2013","no_difference","Lack of enforcement of right-of-way",11.064,0,-11.064,-100,0.156,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-4371,3065,10501,14872,"No",45
"g","g3","2013-2014","no_difference","Lack of enforcement of right-of-way",7.881,-1.739,-9.62,-81.9,0.075,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-3113,2183,7480,10593,"No",36
"g","g4","2013-2014","strengths","Significant gap between bus floor and station platform",9.367,0,-9.367,-100,0.031,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-3700,2595,8890,12590,"No",89
"g","g4","2014","no_difference","Significant gap between bus floor and station platform",8.75,0,-8.75,-100,0.061,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-3457,2424,8305,11762,"No",47
"g","g","2014","no_difference","Point Deductions",-0.858,-10.373,-9.516,9,0.713,-45,-395.044997088352,277.021116356058,949.087229800467,NA,339,-238,-814,-1153,"No",122
"g","g","2013-2014","no_difference","Point Deductions",1.412,-6.765,-8.177,-17.3,0.46,-45,-395.044997088352,277.021116356058,949.087229800467,NA,-558,391,1340,1898,"No",63
"g","g1","2013","no_difference","Commercial speeds",1.915,0,-1.915,-100,0.582,-10,-395.044997088352,277.021116356058,949.087229800467,NA,-757,530,1818,2575,"No",76
