"city","country","country_ITDP","city_ITDP","year","system","corridor","corridor_length","a","a1","a2","a3","a4","a5","b","b1","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","score","g","g1","g2","g3","g4","g5","g6","g7","g8","total_score","classification","gdp","continent","pop_density","corridors_city_length","population","bus_split","net_score","id","x_a","x_b","x_c","x_d","x_e","x_f","x_g","productivity","demand","system_length","speed","year_system_commenced","peak_frequency","peak_load_pax"
"Guangzhou","China","China","Guangzhou",2013,"Guangzhou BRT","Zhongshan Avenue",22.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,0,100,100,100,100,100,100,100,80,66.7,100,78.6,33.3,100,66.7,100,100,100,91,0,0,0,0,0,0,100,100,0,91,"Gold",7590,"Asia",1764.2,22.5,6780000,32,91,70,100,100,64.3,100,80,78.6,0,37777.8,850000,22.5,23,2010,350,29000
"Guatemala City","Guatemala","Guatemala","Guatemala City",2014,"Transmetro","Eje Central",11.7,89.5,100,62.5,100,85.7,100,52.6,0,0,100,100,66.7,50,100,57.1,0,100,100,0,100,80,100,100,100,0,0,80,100,50,64.3,100,100,100,0,0,0,73,0,0,0,0,0,0,0,0,0,73,"Silver",3673,"Latin America",1420,35,1533461,23,73,9,93.66,74.76,64.63,74.74,80,64.3,0,6000,210000,35,26.5,2007,30,12500
"Guatemala City","Guatemala","Guatemala","Guatemala City",2014,"Transmetro","Eje Sur",13,97.4,100,100,100,85.7,100,94.7,100,100,100,100,100,50,100,71.4,50,100,100,0,100,70,0,100,100,100,0,80,100,50,64.3,66.7,100,100,0,50,0,85,0,0,0,0,0,0,0,0,0,85,"Gold",3673,"Latin America",1420,35,1533461,23,85,10,93.66,74.76,64.63,74.74,80,64.3,0,6000,210000,35,26.5,2007,30,12500
"Guayaquil","Ecuador","Ecuador","Guayaquil",2013,"Metrovia","Troncal 1: Guasmo-Río Daule",13.9,97,85.7,100,100,100,100,83.3,100,0,66.7,100,100,100,100,35.7,0,0,100,0,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,75,-19.4,0,0,-60,0,-100,100,100,-12.5,68,"Bronze",6346,"Latin America",7227,45.4,2690000,83,68,71,97,81.07,35.7,90,80,35.7,-19.4,6828.2,310000,45.4,21.5,2006,30,15000
"Guayaquil","Ecuador","Ecuador","Guayaquil",2013,"Metrovia","Troncal 3: Bastion-Centro",16.5,97,85.7,100,100,100,100,79.2,100,0,66.7,100,100,100,50,35.7,0,0,100,0,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,74,-19.4,0,0,-60,0,-100,100,100,-12.5,67,"Bronze",6346,"Latin America",7227,45.4,2690000,83,67,72,97,81.07,35.7,90,80,35.7,-19.4,6828.2,310000,45.4,21.5,2006,30,15000
"Hefei","China","China","Hefei",2014,"Hefei BRT","Hefei Line 1 (Changjiang)",15,52.6,50,100,100,0,0,57.9,100,0,100,100,0,100,0,85.7,100,33.3,100,100,100,70,0,100,100,100,0,20,0,50,42.9,0,66.7,66.7,0,100,0,57,-11.1,-30,0,-40,0,0,0,0,0,52,"Basic",7590,"Asia",2401.8,7.2,2222000,NA,52,11,52.6,57.9,85.7,70,20,42.9,-11.1,9062.5,65250,7.2,16,2010,55,3600
"Istanbul","Turkey","Turkey","Istanbul",2014,"Metrobüs","Avc_lar - Sö_ütlüçe_me",52,97.4,100,100,87.5,100,100,89.5,100,100,66.7,100,100,100,50,71.4,0,100,100,100,100,50,0,33.3,100,100,0,90,83.3,100,32.1,33.3,83.3,33.3,0,0,0,78,-17.8,0,0,0,-60,-100,0,0,0,70,"Silver",10515,"Europe",2523,52,14160467,36,70,12,97.4,89.5,71.4,50,90,32.1,-17.8,14423.1,750000,52,35,2007,156,30000
"Jakarta","Indonesia","Indonesia","Jakarta",2013,"TransJakarta","Corridor 1",12.9,90.9,100,100,100,50,100,79.2,100,0,33.3,100,100,100,100,35.7,0,0,100,100,0,80,100,66.7,100,0,100,80,100,50,35.7,66.7,33.3,66.7,0,0,0,71,-27.8,0,0,-60,-60,-100,100,100,-12.5,61,"Bronze",3492,"Asia",3830.4,206.8,9607787,36,61,73,90.9,79.2,35.7,80,80,35.7,-27.8,1789.6,370000,206.75,19,2004,40,3600
"Jakarta","Indonesia","Indonesia","Jakarta",2014,"TransJakarta","Corridor 1",12.9,97.4,100,100,100,85.7,100,78.9,100,0,66.7,100,100,100,100,35.7,0,0,100,100,0,70,100,66.7,66.7,100,0,80,66.7,100,42.9,66.7,66.7,66.7,0,0,0,74,-6.7,0,0,0,-20,-40,0,0,0,71,"Silver",3492,"Asia",3830.4,206.8,9607787,36,71,13,97.4,78.9,35.7,70,80,42.9,-6.7,1789.6,370000,206.75,19,2004,40,3600
"Jinan","China","China","Jinan",2013,"Jinan BRT","Beiyuan dajie",15,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,67,75,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","China","China","Jinan",2013,"Jinan BRT","Erhuandonglu",8,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,67,77,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","China","China","Jinan",2013,"Jinan BRT","Gongyebeilu-Aotizonglu Line 6",6.6,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,67,74,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","China","China","Jinan",2013,"Jinan BRT","Lishan Lu",4.8,75.8,100,100,100,0,66.7,87.5,100,0,100,100,100,100,100,50,0,33.3,33.3,150,100,80,100,66.7,100,0,100,100,100,100,7.1,0,0,0,0,50,0,67,0,0,0,0,0,0,100,100,0,67,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,67,76,75.8,87.5,50,80,100,7.1,0,2625.3,220000,83.8,17.5,2008,49,2050
"Jinan","China","China","Jinan",2014,"Jinan BRT","B7 corridor Xierhuan",7.1,81.6,100,100,100,0,100,36.8,0,0,100,0,0,100,100,35.7,0,33.3,0,100,100,90,100,100,100,0,100,100,100,100,57.1,0,100,100,0,100,0,65,-11.1,0,-100,0,0,0,0,0,0,60,"Bronze",7590,"Asia",742.3,83.8,4340000,NA,60,14,81.6,36.8,35.7,90,100,57.1,-11.1,2625.3,220000,83.8,17.5,2008,49,2050
"Johannesburg","South Africa","South Africa","Johannesburg",2013,"Rea Vaya","Phase IA",25.5,95.5,100,92.9,100,83.3,100,87.5,100,66.7,100,100,100,50,100,71.4,100,33.3,100,100,0,100,100,100,100,100,100,100,100,100,28.6,66.7,0,66.7,0,0,0,81.5,-16.7,0,0,-60,-60,0,66.7,100,0,75.5,"Silver",6483,"Africa",2696,43.5,957441,32,75.5,78,95.5,87.5,71.4,100,100,28.6,-16.7,965.5,42000,43.5,30,2009,64,5760
"Johannesburg","South Africa","South Africa","Johannesburg",2014,"Rea Vaya","Phase IB",16.7,85.5,100,93.8,100,28.6,100,73.7,100,0,66.7,100,100,50,100,71.4,100,66.7,66.7,100,0,80,0,100,100,100,100,70,100,25,42.9,66.7,33.3,100,0,0,0,74,-28.9,0,0,-80,-40,0,-66.7,-50,-40,61,"Bronze",6483,"Africa",2696,43.5,957441,32,61,15,85.5,73.7,71.4,80,70,42.9,-28.9,965.5,42000,43.5,30,2009,64,5760
"Lanzhou","China","China","Lanzhou",2013,"Lanzhou BRT","Anning Lu",8.6,97,100,100,100,83.3,100,75,100,0,100,100,0,100,100,78.6,100,33.3,100,50,100,100,100,100,100,100,100,100,100,100,57.1,0,66.7,66.7,100,100,0,84,0,0,0,0,0,0,100,100,0,84,"Silver",7590,"Asia",1264.6,9.1,2064000,NA,84,79,97,75,78.6,100,100,57.1,0,31868.1,290000,9.1,22,2013,87,6550
"Las Vegas","United States","USA","Las Vegas, NV",2013,"(no BRT system name)","Strip & Downtown Express (SDX)",2,69.7,85.7,85.7,42.9,50,83.3,50,100,0,66.7,100,0,100,100,35.7,0,100,33.3,0,50,60,100,33.3,100,0,0,80,100,50,50,100,33.3,66.7,0,50,0,57,-8.3,0,0,0,-60,0,0,0,0,54,"Basic",54630,"Northern America",1288.9,63,606762,3.6,54,80,69.7,50,35.7,60,80,50,-8.3,542.3,34189,63.05,21,2004,NA,NA
"Lianyungang","China","China","Lianyungang",2014,"Lianyungang BRT","Xingfu-Hailian-Xingangcheng-Gangcheng",32.8,81.6,100,100,100,0,100,57.9,100,0,100,100,0,100,0,28.6,0,33.3,0,50,100,80,0,100,100,100,100,100,100,100,35.7,0,100,0,0,100,0,64,-6.7,-30,0,0,0,0,0,0,0,61,"Bronze",7590,"Asia",805.4,34,967000,NA,61,16,81.6,57.9,28.6,80,100,35.7,-6.7,588.2,20000,34,18,2012,25,1650
"Lima","Peru","Peru","Lima",2013,"El Metropolitano","(only 1 line)",16.8,97,100,100,100,83.3,100,95.8,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,80,100,50,42.9,100,0,66.7,50,0,0,89,-2.8,0,0,-20,0,0,100,100,0,88,"Gold",6541,"Latin America",3008.8,26,7605742,62,88,81,97,95.8,100,100,80,42.9,-2.8,13461.5,350000,26,25.5,1972,117,22800
"Los Angeles","United States","USA","Los Angeles, CA",2013,"(no BRT system name)","Orange line",23,75.8,100,100,85.7,83.3,0,54.2,0,0,100,0,100,100,0,64.3,100,100,0,0,100,50,0,33.3,100,100,0,100,100,100,57.1,100,0,33.3,100,100,0,65,0,0,0,0,0,0,100,100,0,65,"Bronze",54630,"Northern America",1017,22.9,3792621,23,65,82,75.8,54.2,64.3,50,100,57.1,0,1441,33000,22.9,32,2005,15,NA
"Medellin","Colombia","Colombia","Medellin",2013,"Metroplús","(no corridor name)",12.5,97,100,100,100,83.3,100,70.8,0,0,100,100,100,100,100,92.9,75,100,100,100,100,100,100,100,100,100,100,100,100,100,57.1,100,100,66.7,0,0,0,85,0,0,0,0,0,0,100,100,0,85,"Gold",7904,"Latin America",5840,18,2223078,51,85,83,97,70.8,92.9,100,100,57.1,0,3333.3,60000,18,16,2011,40,2450
"Mexico City","Mexico","Mexico","Mexico City",2013,"Metrobus","Line 1",28.1,97,100,100,100,83.3,100,83.3,100,0,66.7,100,100,100,100,50,0,0,100,100,100,80,100,100,100,0,0,80,100,50,35.7,66.7,33.3,66.7,0,0,0,76,-8.3,0,0,0,0,-100,100,100,0,73,"Silver",10326,"Latin America",5871,105,8851080,77.9,73,85,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Mexico","Mexico","Mexico City",2013,"Metrobus","Line 2",20,87.9,100,71.4,100,66.7,100,83.3,100,0,66.7,100,100,100,100,57.1,0,33.3,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,66.7,66.7,0,0,0,75,0,0,0,0,0,0,100,100,0,75,"Silver",10326,"Latin America",5871,105,8851080,77.9,75,86,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
